,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 09/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 10/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,Towers Watson Delaware Inc.,"Actuarial, Consulting (pension), Consulting fees",NONE,"$1,309,387",$0,"$1,309,387"
1,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,"Vantage Consulting Group, Inc.","Consulting (pension), Investment management, Investment management fees paid directly by plan",NONE,"$1,023,451",$0,"$1,023,451"
2,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,Alphaengine Global Investment,"Investment management, Investment management fees paid directly by plan",NONE,"$737,408",$0,"$737,408"
3,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,"Nisa Investment Advisors, LLC","Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$387,846",$0,"$387,846"
4,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,Inter-American Advisors Inc,"Investment management, Investment management fees paid directly by plan",NONE,"$303,625",$0,"$303,625"
5,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,Comerica,"Custodial (other than securities), Custodial (securities), Trustee (bank, trust company, or similar financial institution), Other services, Direct payment from the plan, Shareholder servicing fees, Float revenue, Other investment fees and expenses, Other fees",NONE,"$296,805",$0,"$296,805"
6,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,Hoisington Investment Mgmt Co,"Investment management, Investment management fees paid directly by plan",NONE,"$252,289",$0,"$252,289"
7,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,Iridian Asset Management LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$198,125",$0,"$198,125"
8,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,Disciplined Alpha,"Investment advisory (plan), Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$142,718",$0,"$142,718"
9,MERITOR  INC. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/196897/Meritor-Inc/13930188/Meritor-Inc-Retirement-Plan/,Meritor  Inc.,10/01/2017 — 09/30/2018,11/01/1952,"$743,361,333",336,Single Employer,Yes,Yes,Trust,Trust,970,"7,791","2,336","11,097","1,533","12,630","13,277",0,0,$0,$0,$0,$0,$0,$0,2135 West Maple Road ,TROY,MI,48084-1706,(248) 435-2061,38-3354643,336300,Mike Lei,Pyrford International Ltd,"Investment management, Investment management fees paid indirectly by plan",NONE,"$117,431",$0,"$117,431"
