,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,Goldman Sachs Asset Management,Investment management,Investment Management,"$3,551,063",$0,"$3,551,063"
1,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,Fidelity Investment Institutional,Plan Administrator,Plan Administrator,"$1,290,108",$0,"$1,290,108"
2,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,Loomis Sayles,Investment management,Investment Management,"$496,575",$0,"$496,575"
3,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution)",Trustee,"$416,260",$0,"$416,260"
4,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,Blackrock Financial Management,Investment management,Investment Management,"$392,259",$0,"$392,259"
5,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,Marathon,Investment management,Investment Management,"$174,609",$0,"$174,609"
6,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,Willis Towers Watson Us LLC,Actuarial,Actuarial,"$174,000",$0,"$174,000"
7,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,"Cardinal Capital Management, LLC.",Investment management,Investment Management,"$162,495",$0,"$162,495"
8,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,Westfield Capital Management Compan,Investment management,Investment Management,"$113,181",$0,"$113,181"
9,MILLERCOORS LLC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/723239/Millercoors-Llc/13913964/Millercoors-Llc-Pension-Plan/,MillerCoors LLC,01/01/2018 — 12/31/2018,07/10/2002,"$1,751,920,000",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"2,430","3,826","2,810","9,066",862,"9,928","10,246",0,0,$0,$0,$0,$0,$0,$0,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,26-2387410,312120,Millercoors LLC Benefit Plan Compliance and Admin Subcommittee,3939 West Highland Blvd. ,Milwaukee,WI,53208-2816,(414) 931-2000,36-4642904,Jennison Associates LLC,Investment management,Investment Management,"$105,917",$0,"$105,917"
