,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Fid Inv Inst Ops Co,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",Recordkeeper,"$1,260,756",$0,"$1,260,756"
1,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Jp Morgan Fleming Asset Mgt USA Inc,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan",Investment Mgmt,"$1,152,541",$0,"$1,152,541"
2,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Northern Trust,"Accounting (including auditing), Custodial (securities), Trustee (bank, trust company, or similar financial institution), Trustee (directed), Investment management, Valuation (appraisals, etc.), Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions, Securities brokerage commissions and fees, Other investment fees and expenses",Trustee -Invmgmt,"$1,013,444",$0,"$1,013,444"
3,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Jennison Associates LLC,"Investment management, Investment management fees paid directly by plan, Investment advisory (plan)",Investment Mgmt,"$683,225",$0,"$683,225"
4,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Rreef America LLC,"Investment management, Investment management fees paid directly by plan",Investment Mgmt,"$580,399",$0,"$580,399"
5,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Numeric Investors LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",Investment Mgmt,"$551,657",$0,"$551,657"
6,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Wellington Management Company LLP,"Investment management, Direct payment from the plan",Investment Mgmt,"$520,383",$0,"$520,383"
7,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Oaktree Capital Management,"Direct payment from the plan, Investment management",Investment Mgmt,"$515,638",$0,"$515,638"
8,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Barrow Hanley Mewhinney & Strauss,"Investment management, Investment management fees paid directly by plan",Investment Mgmt,"$441,526",$0,"$441,526"
9,MONSANTO COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/231065/Monsanto-Company/13913888/Monsanto-Company-Pension-Plan/,Monsanto Company,01/01/2018 — 12/31/2018,12/30/1940,"$2,228,251,832",2,Single Employer,No,Yes,Trust,Trust,"6,564","6,760","4,593","17,917","1,604","19,521","20,187",0,134,$0,$0,$0,$0,$0,$0,800 North Lindbergh Blvd. G5Ee ,St. Louis,MO,63167,(314) 694-1000,43-1878297,325900,Lisa J Massa,Monsanto Company Employee Benefits Plans Committee,800 North Lindbergh Blvd. ,St. Louis,MO,63167,(314) 694-1000,46-3133574,Templeton Investment Counsel LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",Investment Mgmt,"$402,445",$0,"$402,445"
