,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Mondrian Investment Group,Investment management fees paid directly by plan,NONE,"$1,436,948",$0,"$1,436,948"
1,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Westfield Capital Management,Investment management fees paid directly by plan,NONE,"$1,158,558",$0,"$1,158,558"
2,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Tcw Asset Management Company,Investment management fees paid directly by plan,NONE,"$1,037,574",$0,"$1,037,574"
3,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Silvercrest Asset Management Group,Investment management fees paid directly by plan,NONE,"$999,727",$0,"$999,727"
4,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Alight Solutions LLC,"Plan Administrator, Consulting (pension)",NONE,"$945,642",$0,"$945,642"
5,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Prudential Investment Management,Investment management fees paid directly by plan,NONE,"$864,115",$0,"$864,115"
6,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Gallagher Fiduciary Advisors,"Actuarial, Consulting (pension)",NONE,"$623,880",$0,"$623,880"
7,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,The Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution)",NONE,"$471,723",$0,"$471,723"
8,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Cornerstone Re Advisors Inc,Investment management fees paid directly by plan,NONE,"$227,537",$0,"$227,537"
9,MUFG UNION BANK  N.A.  RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/410455/Mufg-Union-Bank-Na/13728354/Mufg-Union-Bank-Na-Retirement-Plan/,MUFG Union Bank  N.A.,01/01/2018 — 12/31/2018,04/01/1958,"$3,737,257,693",16,Single Employer,No,Yes,Trust,Trust,"10,882","6,969","7,166","25,017",467,"25,484","24,401",0,377,$0,$0,$0,$0,$0,$0,"350 California Street, 7th Floor ",San Francisco,CA,94104,(415) 765-2414,94-0304228,522110,David Courchaine,David Courchaine,Rockwood Capital,Investment management fees paid directly by plan,NONE,"$147,493",$0,"$147,493"
