,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,Sit Investment Assoc.,Investment management,Inv-Mgmt,"$2,617,030",$0,"$2,617,030"
1,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,Harris Associates Lp,Investment management,Inv-Mgmt,"$2,508,156",$0,"$2,508,156"
2,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,Northern Trust Company,Custodial (securities),Trusteco,"$2,504,766",$0,"$2,504,766"
3,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,Silchester International Investor,Investment management,Inadv-Pl,"$1,576,646",$0,"$1,576,646"
4,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,Morant Wright,Investment management,Inv-Mgmt,"$1,532,886",$0,"$1,532,886"
5,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,Walter Scott Total,Investment management,Inv-Mgmt,"$1,444,191",$0,"$1,444,191"
6,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,Marathon,Investment management,Inv-Mgmt,"$1,167,620",$0,"$1,167,620"
7,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,TCW,Investment management,Inv-Mgt,"$801,994",$0,"$801,994"
8,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,"Towers Watson Deleware, Inc",Actuarial,Actural,"$580,490",$0,"$580,490"
9,Mayo Pension Plan,https://www.brightscope.com/form-5500/basic-info/559711/Mayo-Clinic/13870302/Mayo-Pension-Plan/,Mayo Clinic,01/01/2018 — 12/31/2018,11/01/1969,"$8,264,901,825",1,Single Employer,No,Yes,Trust,Trust,"61,141","6,750","5,846","73,737",409,"74,146","69,096",0,"1,541",$0,$0,$0,$0,$0,$0,200 First Street SW ,Rochester,MN,55905,(507) 284-0126,41-6011702,621112,William Brown,William Brown,Lazard,Investment management,Inv-Mgt,"$492,498",$0,"$492,498"
