,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 03/31/2019,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 04/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,Towers Watson,"Account maintenance fees, Investment management",NONE,"$865,054",$0,"$865,054"
1,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,"Grantham, Mayo, Van Otterloo & Co",Investment management,NONE,"$636,438",$0,"$636,438"
2,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,Pacific Investment Management,Investment management,NONE,"$552,563",$0,"$552,563"
3,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,Western Asset Management,Investment management,NONE,"$455,368",$0,"$455,368"
4,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,J.P. Morgan Investment,Investment management,NONE,"$434,697",$0,"$434,697"
5,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,Southeastern Asset Management,Investment management,NONE,"$403,322",$0,"$403,322"
6,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,Dodge & Cox,Investment management,NONE,"$337,066",$0,"$337,066"
7,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,Aon Consulting Inc.,"Actuarial, Consulting (general), Investment management",NONE,"$263,723",$0,"$263,723"
8,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,Walter Scott,Investment management,NONE,"$243,974",$0,"$243,974"
9,NATIONAL GRID USA COMPANIES' FINAL AVERAGE PAY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/9834/National-Grid-Usa/13745098/National-Grid-Usa-Companies-Final-Average-Pay-Pension-Plan/2018/,National Grid USA Service Company,04/01/2018 — 03/31/2019,12/30/1943,"$2,406,619,032",3,Single Employer,No,No,InsuranceTrust,InsuranceTrust,"3,003","4,663","1,964","9,630","1,400","11,030","11,180",0,10,$0,$0,$0,$0,$0,$0,One Metrotech Center ,Brooklyn,NY,11201-3831,(888) 483-2123,04-1663150,541990,David Campbell,"Retirement Plans Committee of National Grid USA Service Company, Inc.",One Metrotech Center ,Brooklyn,NY,11201-3831,(929) 324-4729,04-1663150,"Arrowstreet Capital, Limited",Investment management,NONE,"$189,069",$0,"$189,069"
