,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,Fmr Corp,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Investment management",NONE,"$2,728,565",$0,"$2,728,565"
1,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,Goldman Sachs & Co. LLC,"Securities brokerage, Direct payment from the plan",NONE,"$1,389,064",$0,"$1,389,064"
2,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,Polaris Capital Management,"Investment management fees paid directly by plan, Investment management",NONE,"$1,375,366",$0,"$1,375,366"
3,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,Deloitte Consulting LLP,"Actuarial, Consulting (general), Direct payment from the plan",NONE,"$514,294",$0,"$514,294"
4,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,Sound Shore Management Inc,"Investment management fees paid directly by plan, Investment management",NONE,"$429,614",$0,"$429,614"
5,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,The Bank of New York Mellon,"Custodial (other than securities), Custodial (securities), Direct payment from the plan",NONE,"$309,763",$0,"$309,763"
6,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,KPMG LLP,"Accounting (including auditing), Direct payment from the plan",Accounting,"$138,000",$0,"$138,000"
7,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,Aon Consulting Inc,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$77,443",$0,"$77,443"
8,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,Institutional Shareholder,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Account maintenance fees",Account Maint,"$26,395",$0,"$26,395"
9,NATIONWIDE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/135537/Nationwide-Mutual-Insurance-Company/13913761/Nationwide-Retirement-Plan/,Nationwide Mutual Insurance Company,01/01/2018 — 12/31/2018,03/01/1946,"$4,971,351,485",333,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"28,971","13,007","14,346","56,324","1,395","57,719","55,973",0,"1,043",$0,$0,$0,$0,$0,$0,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-3194,31-4177100,524140,Juan Jose Perez,Robert Watts,Administrative Committee,"One Nationwide Plaza, 1-04-101 ",Columbus,OH,43215,(614) 249-4117,31-4177100,Total,Total,Total,"$6,988,504",$0,"$6,988,504"
