,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,"Conduent Hr Services, LLC","Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$1,324,023",$0,"$1,324,023"
1,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$664,348",$0,"$664,348"
2,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Troutman Sanders LLP,"Legal, Direct payment from the plan",NONE,"$606,467",$0,"$606,467"
3,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Sei Private Trust Co,"Investment management, Investment management fees paid directly by plan",NONE,"$436,908",$0,"$436,908"
4,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Mercer,"Actuarial, Direct payment from the plan",NONE,"$385,310",$0,"$385,310"
5,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,New York Life Inv Management LLC,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$355,976",$0,"$355,976"
6,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Invesco Capital Management,"Investment management, Direct payment from the plan",NONE,"$350,243",$0,"$350,243"
7,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Nisa Investment Advisors LLC,"Investment advisory (plan), Direct payment from the plan",NONE,"$303,517",$0,"$303,517"
8,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Jp Morgan Investment Mgmt Inc.,"Investment management, Direct payment from the plan",NONE,"$264,330",$0,"$264,330"
9,NEWELL RUBBERMAID PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164830/Newell-Operating-Company/13930256/Newell-Rubbermaid-Pension-Plan/2018/,NEWELL OPERATING COMPANY,01/01/2018 — 12/31/2018,02/01/1949,"$1,100,798,557",1,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"2,245","21,097","6,529","29,871","3,617","33,488","34,326",0,0,$0,$0,$0,$0,$0,$0,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,339900,U.S. Benefits Administration Committee,6655 Peachtree Dunwoody Road ,Atlanta,GA,30328,(770) 418-7000,36-1953130,Baring Asset Management,"Investment management, Direct payment from the plan",NONE,"$238,188",$0,"$238,188"
