,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,Comvest Capital III Lp,"Investment management, Investment management fees paid directly by plan",NONE,"$2,697,509",$0,"$2,697,509"
1,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,Fidelity Institutional Ops,"Claims processing, Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Account maintenance fees",NONE,"$2,248,380",$0,"$2,248,380"
2,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,Palisade Capital Management,"Investment management, Investment management fees paid directly by plan",NONE,"$1,856,071",$0,"$1,856,071"
3,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,New Mountain Partners IV Lp,"Investment management, Investment management fees paid directly by plan",NONE,"$1,734,558",$0,"$1,734,558"
4,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,Artisan Partners,"Investment management, Investment management fees paid directly by plan",NONE,"$1,716,725",$0,"$1,716,725"
5,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,York Special Opp Fund Ii-A Lp,"Investment management, Investment management fees paid directly by plan",NONE,"$1,638,594",$0,"$1,638,594"
6,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,Comvest Capital IV Lp,"Investment management, Investment management fees paid directly by plan",NONE,"$1,290,166",$0,"$1,290,166"
7,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,Specialty Loan Instl Fd 2016 L,"Investment management, Investment management fees paid directly by plan",NONE,"$1,194,637",$0,"$1,194,637"
8,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,William Blair,"Investment management, Investment management fees paid directly by plan",NONE,"$1,097,570",$0,"$1,097,570"
9,NEXTERA ENERGY  INC. EMPLOYEE PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/297020/Nextera-Energy-Inc/13926887/Nextera-Energy-Inc-Employee-Pension-Plan/,NextEra Energy  Inc.,01/01/2018 — 12/31/2018,10/01/1946,"$3,800,127,326",1,Single Employer,Yes,Yes,Trust,Trust,"12,729","4,987","5,856","23,572","1,034","24,606","24,411",0,193,$0,$0,$0,$0,$0,$0,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-2449419,221100,Employee Benefit Plans Administrative Committee - Rebecca Lewis,700 Universe Boulevard Hrb/Jb ,Juno Beach,FL,33408-0420,(561) 304-6123,59-1705818,Advent Capital Management LLC,"Investment management, Investment management fees paid directly by plan",NONE,"$1,036,021",$0,"$1,036,021"
