,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,Mercer,"Actuarial, Plan Administrator, Consulting (general)",NONE,"$1,243,594",$0,"$1,243,594"
1,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,Wedge Capital Management LLP,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$704,803",$0,"$704,803"
2,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,Goldman Sachs Asset Management,"Investment management, Investment management fees paid directly by plan, Non-monetary compensation",NONE,"$489,206",$0,"$489,206"
3,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,Lsv Asset Management,"Investment management, Investment management fees paid directly by plan",NONE,"$460,883",$0,"$460,883"
4,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,"Guggenheim Trust Company, LLC",Investment management fees paid directly by plan,NONE,"$416,596",$0,"$416,596"
5,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,Ofi Global Trust Company,Investment management fees paid directly by plan,NONE,"$375,605",$0,"$375,605"
6,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,Baillie Gifford Overseas Limited,Investment management fees paid directly by plan,NONE,"$317,143",$0,"$317,143"
7,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,Aberdeen Asset Management,Investment management fees paid directly by plan,NONE,"$308,294",$0,"$308,294"
8,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,Northern Trust Corporation,"Trustee (bank, trust company, or similar financial institution)",NONE,"$297,432",$0,"$297,432"
9,NISSAN EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/424315/Nissan-North-America-Inc/1043852/Nissan-Employee-Retirement-Plan/,NISSAN NORTH AMERICA  INC.,01/01/2018 — 12/31/2018,03/01/1966,"$1,532,772,086",1,Single Employer,No,Yes,Trust,Trust,"7,505","5,277","5,329","18,111",590,"18,701","18,898",0,0,$0,$0,$0,$0,$0,$0,One Nissan Way ,Franklin,TN,37067-6367,(615) 725-1000,95-2108010,423100,Tracy Jones,Prudential Trust Co.,Investment management fees paid directly by plan,NONE,"$272,600",$0,"$272,600"
