,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$5,228,380",$0,"$5,228,380"
1,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Pricewaterhouse Coopers LLC,"Accounting (including auditing), Direct payment from the plan",NONE,"$329,667",$0,"$329,667"
2,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Nokia of America Corporation,"Employee (plan sponsor), Direct payment from the plan, Non-monetary compensation",Employer,"$303,972",$39,"$304,011"
3,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,"Aon Consulting, Inc.","Actuarial, Direct payment from the plan",NONE,"$281,709",$0,"$281,709"
4,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Seyfarth Shaw,"Legal, Direct payment from the plan",NONE,"$89,229",$0,"$89,229"
5,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Candid Litho,"Copying and duplicating, Direct payment from the plan",NONE,"$33,858",$0,"$33,858"
6,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Armanino,"Accounting (including auditing), Direct payment from the plan",NONE,"$33,390",$0,"$33,390"
7,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Universal Mailing Service,"Participant communication, Direct payment from the plan",NONE,"$32,341",$0,"$32,341"
8,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Broad Data Systems Inc,"Direct payment from the plan, Other fees",NONE,"$19,902",$0,"$19,902"
9,NOKIA RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/100830/Alcatel-Lucent-Usa-Inc/13913701/Nokia-Retirement-Income-Plan/,Alcatel-Lucent USA  Inc,01/01/2018 — 12/31/2018,10/01/1996,"$16,834,832,000",1,Single Employer,No,Yes,Trust,Trust,"9,487","57,955","24,302","91,744","14,518","106,262","111,346",0,0,$0,$0,$0,$0,$0,$0,"600 Mountain Avenue, Room 6D-401A ",Murray Hill,NJ,07974,(908) 723-9869,22-3408857,334200,Susan Lear,Mitchell Law Group,"Legal, Direct payment from the plan",NONE,"$12,500",$0,"$12,500"
