,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Financial Engines Advisors LLC,"Other services, Other fees",Advisor,"$7,073,782","$106,700","$7,180,482"
1,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Fidelity Investments Institutional,"Participant loan processing, Recordkeeping fees, Account maintenance fees, Direct payment from the plan, Securities brokerage commissions and fees",Recordkeeper,"$3,344,750",$0,"$3,344,750"
2,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,State Street Bank and Trust Company,"Trustee (directed), Custodial (securities), Investment management, Float revenue, Distribution (12b-1) fees, Other fees",Direct Trustee,"$739,003",$0,"$739,003"
3,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Anacomp Inc,"Direct payment from the plan, Other services",Computer Service,"$206,059",$0,"$206,059"
4,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Deloitte & Touche LLP,"Accounting (including auditing), Direct payment from the plan",Auditor,"$193,500",$0,"$193,500"
5,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Callan Associates,"Valuation (appraisals, etc.), Direct payment from the plan",Consultant,"$120,089",$0,"$120,089"
6,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Chipton-Ross,"Contract Administrator, Plan Administrator, Legal, Employee (plan), Copying and duplicating, Participant loan processing, Participant communication, Direct payment from the plan",Contract Labor,"$80,712",$0,"$80,712"
7,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Willis Towers Watson Delaware Inc,"Actuarial, Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (pension), Participant communication, Direct payment from the plan",Consultant,"$50,985",$0,"$50,985"
8,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,Seyfarth Shaw LLP,"Legal, Direct payment from the plan",Legal Counsel,"$50,718",$0,"$50,718"
9,NORTHROP GRUMMAN PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/1345644/Northrop-Grumman-Corporation/13905529/Northrop-Grumman-Savings-Plan/,Northrop Grumman Corporation,01/01/2018 — 12/31/2018,02/01/1962,"$22,174,645,282",11,Single Employer,No,No,Trust,Trust,"69,528","3,338","37,196","110,062",261,"110,323","107,471","107,795","2,786",$0,$0,$0,$0,$0,$0,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(703) 280-2900,80-0640649,336410,Jeff Schmidt-Corp VP Comp&Ben,Ng Benefit Plans Administrative Committee,2980 Fairview Park Drive ,Falls Church,VA,22042-4511,(800) 894-4194,95-3058633,Audited,Deloitte & Touche LLP,13-3891517,Unqualified,Full Audit,O'Connor Davies Munns & Dobbins LLP,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",Consultant,"$31,327",$0,"$31,327"
