,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Excella Consulting,"Consulting (general), Direct payment from the plan",Consultant,"$2,826,997",$0,"$2,826,997"
1,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Neuberger Berman,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",Investment Management,"$2,463,609",$0,"$2,463,609"
2,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Lsv Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Management,"$2,440,894",$0,"$2,440,894"
3,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Jennison Associates,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",Investment Management,"$2,283,895",$0,"$2,283,895"
4,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Baillie Gifford,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Management,"$2,006,718",$0,"$2,006,718"
5,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Arrowstreet Capital Limited Partner,"Investment management, Investment management fees paid directly by plan",Investment Management,"$1,869,109",$0,"$1,869,109"
6,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Cornerstone Investment Partners LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",Investment Management,"$1,657,025",$0,"$1,657,025"
7,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Decisionpath Consulting,"Consulting (general), Direct payment from the plan",Consultant,"$1,451,031",$0,"$1,451,031"
8,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Southeastern Asset Management Inc,"Investment management, Investment management fees paid directly by plan",Investment Management,"$1,277,873",$0,"$1,277,873"
9,NRECA RETIREMENT SECURITY PLAN,https://www.brightscope.com/form-5500/basic-info/256997/National-Rural-Electric-Cooperative-Association/13913739/Retirement-Security-Plan/,National Rural Electric Cooperative Assn,01/01/2018 — 12/31/2018,01/01/1948,"$8,614,297,789",333,Multiple Employer,No,Yes,InsuranceTrust,InsuranceTrust,"55,484","6,074","5,151","66,709",851,"67,560","66,975",0,"1,084",$0,$0,$0,$0,$0,$0,4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-6021,53-0116145,221100,Rebecca Mordas,"Senior Vice President, Insurance & Financial Services",4301 Wilson Blvd ,Arlington,VA,22203,(703) 907-5743,54-2072724,Capricorn Systems Inc,"Consulting (general), Direct payment from the plan",Consultant,"$1,205,481",$0,"$1,205,481"
