,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,Pacific Investment Management Co,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$2,068,660",$0,"$2,068,660"
1,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,Silchester International Investors,"Investment management, Foreign entity (...), Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$1,826,528",$0,"$1,826,528"
2,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,Nisa Investment Advisors LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,343,359",$0,"$1,343,359"
3,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,Fidelity Institutional Asset Mgt,"Investment management, Investment management fees paid directly by plan",NONE,"$1,001,123",$0,"$1,001,123"
4,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,Blackrock Financial Management Inc,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$861,907",$0,"$861,907"
5,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,"Ntess, LLC","Employee (plan sponsor), Direct payment from the plan",Employer,"$619,461",$0,"$619,461"
6,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,Northern Trust Corporation,"Investment management fees paid indirectly by plan, Other services, Shareholder servicing fees",Trustee,"$618,260",$0,"$618,260"
7,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,"Aronson & Johnson & Ortiz, Lp","Investment management, Investment management fees paid directly by plan",NONE,"$562,343",$0,"$562,343"
8,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,"Dimensional Fund Advisors, Lp",Investment management,NONE,"$487,851",$0,"$487,851"
9,NTESS RETIREMENT INCOME PLAN,https://www.brightscope.com/form-5500/basic-info/381579/Sandia-Corporation/13913767/Sandia-Corporation-Retirement-Income-Plan/2018/,National Technology and Engineering Solutions of Sandia  LLC,01/01/2018 — 12/31/2018,06/01/1950,"$5,412,439,585",6,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"4,964","6,971","1,217","13,152","1,185","14,337","14,526",0,0,$0,$0,$0,$0,$0,$0,"P.O. Box 5800, Mail Stop 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,541700,"Leah Mitchell, CPA","Joshua Parsons, CPA",Employee Benefits Committee of Ntess,"Po Box 5800, Ms 1302 ",Albuquerque,NM,87185-1302,(505) 845-9222,85-0097942,Prudential Insurance Company,"Contract Administrator, Custodial (securities), Trustee (bank, trust company, or similar financial institution), Investment management, Investment management fees paid indirectly by plan, Float revenue, Soft dollars commissions",Trustee,"$468,919",$0,"$468,919"
