,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,Fidelity Invt Institutional Ops Co,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$957,415",$0,"$957,415"
1,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,Ryan Labs Asset Management Inc.,"Investment management fees paid directly by plan, Investment advisory (plan)",NONE,"$333,993",$0,"$333,993"
2,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,"Nisa Investment Advosors, LLC","Investment advisory (plan), Investment management fees paid directly by plan",NONE,"$317,024",$0,"$317,024"
3,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,Towers Watson Delaware Inc.,"Actuarial, Consulting (pension), Direct payment from the plan",NONE,"$266,897",$0,"$266,897"
4,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,Panagora Asset Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$258,178",$0,"$258,178"
5,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,Wells Capital Management,"Other services, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$220,565",$0,"$220,565"
6,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,Northern Trust Corporation,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",Trustee,"$202,931",$0,"$202,931"
7,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,Copper Rock Capital Partners LLC,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$120,579",$0,"$120,579"
8,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,Three Peaks Capital Management LLC,"Investment management, Investment management fees paid directly by plan",NONE,"$109,238",$0,"$109,238"
9,OWENS CORNING MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/725979/Owens-Corning/13914063/Owens-Corning-Merged-Retirement-Plan/,Owens Corning,01/01/2018 — 12/31/2018,12/31/1943,"$752,104,785",1,Single Employer,Yes,Yes,Trust,Trust,"4,094","3,122","4,021","11,237","1,037","12,274","12,778",0,0,$0,$0,$0,$0,$0,$0,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8000,43-2109021,327210,Stacy P Litka,Owens Corning Benefits Review,One Owens Corning Parkway ,Toledo,OH,43659,(419) 248-8323,43-2109021,"Oc Sales, LLC","Plan Administrator, Direct payment from the plan",Affiliate-Plan Sponsor,"$104,858",$0,"$104,858"
