,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 06/30/2017,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 07/01/2016,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,"Conduent Hr Solutions, LLC",Contract Administrator,Plan Administrator,"$1,106,402",$0,"$1,106,402"
1,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Grantham Mayo,Investment management,Investment Manager,"$931,941",$0,"$931,941"
2,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Aberdeen Asset Management,Investment management,Investment Manager,"$839,388",$0,"$839,388"
3,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Walter Scott Global Inv Mgmt,"Investment management, Foreign entity (...)",Investment Manager,"$796,894",$0,"$796,894"
4,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Capital Guardian,Investment management,Investment Manager,"$632,088",$0,"$632,088"
5,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Jp Morgan,Investment management,Investment Manager,"$624,136",$0,"$624,136"
6,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Copper Rock International,Investment management,Investment Manager,"$603,815",$0,"$603,815"
7,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution)",Trustee,"$590,725",$0,"$590,725"
8,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Pimco,Investment management,Investment Manager,"$582,333",$0,"$582,333"
9,PARKER HANNIFIN CORPORATION CONSOLIDATED PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/146292/Parker-Hannifin-Corporation/544548/The-Parker-Hannifin-Consolidated-Pension-Plan/,Parker Hannifin Corporation,07/01/2016 — 06/30/2017,05/01/1968,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceSection 412(i) insurance contractsTrust,Trust,0,0,0,0,0,0,"32,706",0,0,$0,$0,$0,$0,$0,$0,6035 Parkland Blvd ,Cleveland,OH,44124-4186,(216) 896-3000,34-0451060,333200,Patricia Emond,Franklin Templeton Global Multi-Sec,Investment management,Investment Manager,"$474,310",$0,"$474,310"
