,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,Fidelity Institutional Operations,Plan Administrator,NONE,"$3,973,744",$0,"$3,973,744"
1,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,Marathon Asset Management,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,101,302",$0,"$1,101,302"
2,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,Jp Morgan Chase Bank,Investment management fees paid directly by plan,NONE,"$747,118",$0,"$747,118"
3,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,Times Square Capital Management LLC,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$692,923",$0,"$692,923"
4,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$620,928",$0,"$620,928"
5,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,Jennison Associates,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$618,509",$0,"$618,509"
6,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,Mercer,Actuarial,NONE,"$616,946",$0,"$616,946"
7,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,Mfs Institutional Advisors,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$605,099",$0,"$605,099"
8,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,William Blair & Co,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$564,666",$0,"$564,666"
9,PEPSICO EMPLOYEES RETIREMENT PLAN I,https://www.brightscope.com/form-5500/basic-info/43526/Pepsico-Inc/13913746/Pepsico-Employees-Retirement-Plan-I/,PEPSICO  INC.,01/01/2018 — 12/31/2018,07/01/1958,"$5,305,943,000",4,Single Employer,No,Yes,Trust,InsuranceTrust,156,"19,707","29,310","49,173","3,200","52,373","53,591",0,0,$0,$0,$0,$0,$0,$0,"700 Anderson Hill Road Bldg 5, Level 3",Purchase,NY,10577-1444,(914) 253-2000,13-1584302,312110,Megan Broderick,Pepsico Administration Committee,700 Anderson Hill Rd ,Purchase,NY,10577,(914) 253-2000,13-1584302,Altrinsic Global Advisors,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$532,839",$0,"$532,839"
