,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,Jp Morgan Investment Mgmt,"Investment management, Investment advisory (plan), Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$2,114,318",$0,"$2,114,318"
1,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,Legal & General Invst Mgmt America,"Investment management, Investment management fees paid directly by plan",NONE,"$1,076,831",$0,"$1,076,831"
2,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,"Blackrock Financial Management, Inc","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,047,288",$0,"$1,047,288"
3,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,"Towers Watson Delaware, Inc.","Actuarial, Consulting (pension), Direct payment from the plan",NONE,"$1,005,777",$0,"$1,005,777"
4,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,Nisa Investment Advisors LLC,"Investment management, Direct payment from the plan",NONE,"$992,805",$0,"$992,805"
5,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,Morgan Stanley Investment Mgmt Inc.,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$639,636",$0,"$639,636"
6,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,"Schroder Investment Mgmt Na, Inc.","Trustee (bank, trust company, or similar financial institution), Investment management, Direct payment from the plan, Soft dollars commissions",NONE,"$497,645",$0,"$497,645"
7,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,State Street Bank & Trust Co.,"Trustee (directed), Investment management, Other services, Direct payment from the plan, Other fees",NONE,"$489,648",$0,"$489,648"
8,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,Bmo Asset Mgmt Corp,"Investment management, Investment management fees paid directly by plan",NONE,"$472,635",$0,"$472,635"
9,PINNACLE WEST CAPITAL CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/384549/Pinnacle-West-Capital-Corporation/13913854/Pinnacle-West-Capital-Corporation-Retirement-Plan/,Pinnacle West Capital Corporation,01/01/2018 — 12/31/2018,01/01/1987,"$3,052,309,575",1,Single Employer,Yes,Yes,Trust,Trust,"6,248","5,508","2,031","13,787",838,"14,625","14,635",0,72,$0,$0,$0,$0,$0,$0,Po Box 53999 ,Phoenix,AZ,85072-3999,(602) 250-2412,86-0512431,551112,Carmen Jandacek,Pinnacle West Capital Corporation,Benefit Administration Committee Po Box 53999,Phoenix,AZ,85072-3999,(602) 250-2412,86-0564557,Fidelity Investments,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$410,002",$0,"$410,002"
