,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,Willis Towers Watson,"Actuarial, Consulting (pension), Direct payment from the plan",NONE,"$2,286,582",$147,"$2,286,729"
1,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,Pacific Investment Management Co.,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,266,333",$0,"$1,266,333"
2,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,Prudential Insurance Company,"Investment advisory (plan), Investment management, Direct payment from the plan",NONE,"$853,465",$0,"$853,465"
3,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,"Nisa Investment Advisors, LLC","Investment advisory (plan), Investment management, Investment management fees paid directly by plan, Securities brokerage commissions and fees",NONE,"$560,120",$0,"$560,120"
4,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,Northern Trust Company,"Claims processing, Direct payment from the plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$558,342",$0,"$558,342"
5,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,Jp Morgan Investment Management Inc,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan",NONE,"$421,538",$0,"$421,538"
6,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,Legal & General Investment Mgmt,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan",NONE,"$412,735",$0,"$412,735"
7,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,Voya Investment Management Company,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan",NONE,"$330,120",$0,"$330,120"
8,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,Prudential Trust Co.,"Investment advisory (plan), Investment management, Direct payment from the plan",NONE,"$277,711",$0,"$277,711"
9,PITNEY BOWES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/27123/Pitney-Bowes-Inc/1273472/Pitney-Bowes-Pension-Plan/,PITNEY BOWES INC,01/01/2018 — 12/31/2018,05/01/1948,"$1,324,339,019",1,Single Employer,No,Yes,Trust,Trust,"1,353","9,289","13,371","24,013","2,090","26,103","27,636",0,0,$0,$0,$0,$0,$0,$0,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,333900,Amy Goldberg,Pitney Bowes Employee Benefits Committee,3001 Summer Street ,Stamford,CT,06926,(888) 469-7276,06-0495050,Capital Guardian Trust Company,"Investment advisory (plan), Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$272,993",$0,"$272,993"
