,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,Dodge and Cox,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,432,643",$0,"$1,432,643"
1,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,Columbia Management Investment,Investment management fees paid directly by plan,NONE,"$1,173,299",$0,"$1,173,299"
2,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,Boston Company Asset Management LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,036,711",$0,"$1,036,711"
3,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,Wells Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$905,485",$0,"$905,485"
4,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,Fidelity Institutional Operations C,"Consulting (general), Consulting fees",NONE,"$810,818",$0,"$810,818"
5,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,Western Asset Management Company,"Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$662,944",$0,"$662,944"
6,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Float revenue, Soft dollars commissions",NONE,"$644,094",$0,"$644,094"
7,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,Pyramis Global Advisors Holdings Co,Investment advisory (plan),NONE,"$321,679",$0,"$321,679"
8,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,Mercer,"Actuarial, Direct payment from the plan",NONE,"$207,138",$0,"$207,138"
9,Pension Plan Of The Chubb Corporation,https://www.brightscope.com/form-5500/basic-info/44666//13913874/Pension-Plan-Of-The-Chubb-Corporation/,CHUBB,01/01/2018 — 12/31/2018,01/01/1985,"$2,922,195,986",3,Single Employer,No,Yes,Trust,Trust,"4,987","4,314","5,383","14,684",574,"15,258","15,364",0,28,$0,$0,$0,$0,$0,$0,"436 Walnut Street, Wa03N ",Philadelphia,PA,19106-3703,(215) 640-2694,13-2595722,524150,Chubb Us Retirement Committee,202A Halls Mill Road ,Whitehouse Station,NJ,08889-9999,(215) 640-2694,58-2457246,State Street Research & Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$55,562",$0,"$55,562"
