,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,Morgan Stanley Real Estate Advisor,"Investment management, Investment management fees paid directly by plan",NONE,"$1,875,399",$0,"$1,875,399"
1,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,Pzena Investment Management LLC.,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,426,961",$0,"$1,426,961"
2,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,Mawer Investment Management Ltd.,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$932,877",$0,"$932,877"
3,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,Columbus Circle Investors,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$892,713",$0,"$892,713"
4,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,Shenkman Capital Management,"Investment management, Investment management fees paid directly by plan",NONE,"$545,427",$0,"$545,427"
5,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,Jp Morgan Investment,"Investment management, Direct payment from the plan",NONE,"$474,826",$0,"$474,826"
6,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,AON,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$469,724",$0,"$469,724"
7,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,Coronation Fund Managers,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$394,401",$0,"$394,401"
8,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,Prudential Investments,"Contract Administrator, Direct payment from the plan",NONE,"$339,400",$0,"$339,400"
9,Praxair Pension Plan,https://www.brightscope.com/form-5500/basic-info/31191/Praxair-Inc/13913984/The-Praxair-Pension-Plan/,Praxair  Inc.,01/01/2018 — 12/31/2018,07/01/1992,"$1,845,779,557",335,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"8,308","4,225","5,479","18,012",801,"18,813","12,269",0,247,$0,$0,$0,$0,$0,$0,10 Riverview Drive ,Danbury,CT,06810-6268,(203) 837-2000,06-1249050,325100,Kristen Putnam,Admin and Investment Committees for The Linde U.S. Retirement Plans,10 Riverview Drive ,Danbury,CT,06810,(203) 837-2000,06-1249050,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$299,442",$0,"$299,442"
