,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,Pacific Investment Management Co.,"Investment management, Investment management fees paid directly by plan",NONE,"$1,449,116",$0,"$1,449,116"
1,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,Alight Solutions Inc.,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$1,051,845",$0,"$1,051,845"
2,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,The Bank of New York Mellon,"Custodial (other than securities), Direct payment from the plan",NONE,"$901,526",$0,"$901,526"
3,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,Walter Scott & Partners,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions, Custodial (securities), Investment management fees paid indirectly by plan, Securities brokerage commissions and fees",NONE,"$699,305",$0,"$699,305"
4,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,"Loomis Sayles & Company, L.P.","Investment management, Investment management fees paid directly by plan",NONE,"$489,083",$0,"$489,083"
5,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,Nisa Investment Advisors,"Investment management, Investment management fees paid directly by plan",NONE,"$484,214",$0,"$484,214"
6,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,Towers Watson Delaware Inc.,"Actuarial, Consulting (general), Direct payment from the plan",NONE,"$218,939",$0,"$218,939"
7,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,Aon Consulting Inc,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (general), Consulting (pension), Investment advisory (plan), Direct payment from the plan, Account maintenance fees",NONE,"$114,776",$0,"$114,776"
8,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,Ernst & Young U.S. LLP,"Accounting (including auditing), Direct payment from the plan, Account maintenance fees",NONE,"$60,478",$0,"$60,478"
9,RELX INC. US RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/249454/Relx-Inc/13913972/Relx-Inc-Us-Retirement-Plan/2018/,RELX Inc.,01/01/2018 — 12/31/2018,01/01/1979,"$1,230,739,028",4,Single Employer,No,Yes,Trust,Trust,"4,028","2,486","8,411","14,925",374,"15,299","15,837",0,0,$0,$0,$0,$0,$0,$0,"230 Park Ave, 7th Floor ",New York,NY,10169,(212) 309-5467,52-1471842,511120,Proskauer,"Legal, Direct payment from the plan",NONE,"$31,250",$0,"$31,250"
