,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 06/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 07/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,Parametric Portfolio Assoc.,Investment management,NONE,"$425,704",$0,"$425,704"
1,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,Summit Strategies,"Consulting (pension), Investment advisory (plan)",NONE,"$225,990",$0,"$225,990"
2,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,Albourne Partners,Investment management,NONE,"$162,710",$0,"$162,710"
3,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,The Bank of New York Mellon Corp,"Custodial (other than securities), Account maintenance fees",NONE,"$114,318",$0,"$114,318"
4,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,The Northern Trust Company,Investment management,NONE,"$100,713",$0,"$100,713"
5,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,Grant Thornton LLP,Accounting (including auditing),NONE,"$92,291",$0,"$92,291"
6,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,The Clifton Group,Investment management,NONE,"$35,667",$0,"$35,667"
7,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,Finanalytics,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$29,033",$0,"$29,033"
8,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,Morningstar,"Consulting (pension), Investment management, Participant communication",NONE,"$23,461",$0,"$23,461"
9,RETIREMENT BENEFIT ACCUMULATION PLAN FOR EMPLOYEES OF PWC,https://www.brightscope.com/form-5500/basic-info/52643/Pricewaterhousecoopers-Llp/13927396/Retirement-Benefit-Accumulation-Plan-For-Employees-Of-Pwcllp/2018/,PricewaterhouseCoopers LLP,07/01/2017 — 06/30/2018,06/01/1954,"$2,300,404,361",2,Single Employer,No,Yes,Trust,Trust,"8,338","1,688","11,938","21,964",337,"22,301","23,435",0,0,$0,$0,$0,$0,$0,$0,4040 W. Boy Scout Blvd. ,Tampa,FL,33617,(813) 348-7000,13-4008324,541211,Joseph R. Gattone Sr.,Dg3 North America Inc.,"Copying and duplicating, Participant communication",NONE,"$6,625",$0,"$6,625"
