,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Alight Solutions LLC,"Plan Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$2,597,387",$0,"$2,597,387"
1,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Aetna Life Insurance Company,"Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Custodial (securities), Insurance mortality and expense charge, Direct payment from the plan, Investment management",Subsidiary,"$2,327,216",$0,"$2,327,216"
2,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,De Shaw Investment Management,Investment management,NONE,"$1,581,558",$0,"$1,581,558"
3,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Barrow Hanley Mewhinney & Strauss,"Investment management, Soft dollars commissions",NONE,"$1,366,357",$0,"$1,366,357"
4,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Aqr Capital Management LLC,Investment management,NONE,"$1,358,876",$0,"$1,358,876"
5,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Pacific Investment Managementco LLC,Investment management,NONE,"$1,307,984",$0,"$1,307,984"
6,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Mfs Institutional Advisors Inc.,"Investment management, Soft dollars commissions",NONE,"$1,302,522",$0,"$1,302,522"
7,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Arrowstreet Capital Lp,"Investment management, Soft dollars commissions",NONE,"$1,275,381",$0,"$1,275,381"
8,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Blackrock Financial Management Inc,Investment management,NONE,"$1,031,419",$0,"$1,031,419"
9,RETIREMENT PLAN FOR EMPLOYEES OF AETNA INC.,https://www.brightscope.com/form-5500/basic-info/109782/Aetna-Inc/13913740/Retirement-Plan-For-Employees-Of-Aetna-Inc/,Aetna Inc.,01/01/2018 — 12/31/2018,01/01/1955,"$5,663,443,075",3,Single Employer,No,Yes,This is an amended report.,InsuranceTrust,InsuranceTrust,"13,557","25,346","16,936","55,839","2,643","58,482","60,505",0,65,$0,$0,$0,$0,$0,$0,"151 Farmington Ave., Reag ",Hartford,CT,06156,(800) 238-6247,23-2229683,524140,Candace Jodice,Wellington Management Co LLP,Investment management,NONE,"$905,930",$0,"$905,930"
