,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 05/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 06/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,"Mercer Investment Management, Inc","Investment advisory (plan), Direct payment from the plan",Investment Advisor,"$732,189",$0,"$732,189"
1,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,"Towers Watson Delaware, Inc.","Actuarial, Direct payment from the plan",Actuary,"$652,639",$0,"$652,639"
2,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,Arrowstreet Capital Ltd Partnership,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$504,454",$0,"$504,454"
3,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,University of Miami,"Accounting (including auditing), Employee (plan sponsor), Direct payment from the plan",Plan Sponsor,"$503,965",$0,"$503,965"
4,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,"Aqr Capital Management, LLC","Custodial (securities), Investment management, Investment management fees paid directly by plan",Investment Manager,"$399,773",$0,"$399,773"
5,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,Northern Trust,"Trustee (directed), Investment management, Other services, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Float revenue",Trustee & Invstmnt Mgr,"$277,918",$0,"$277,918"
6,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,Artisan Partners Ltd Partnership,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",Investment Manager,"$243,850",$0,"$243,850"
7,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,"Parametric Portfolio Associates,LLC","Investment management, Investment management fees paid directly by plan, Soft dollars commissions",Investment Manager,"$215,760",$0,"$215,760"
8,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,"Logan Circle Partners, L.P.","Investment management, Securities brokerage, Investment management fees paid directly by plan",Investment Manager,"$136,862",$0,"$136,862"
9,RETIREMENT PLAN FOR EMPLOYEES OF THE UNIVERSITY OF MIAMI,https://www.brightscope.com/form-5500/basic-info/594089/University-Of-Miami/13930465/Retirement-Plan-For-Employees-Of-The-Univ-Of-Miami/2018/,University of Miami,06/01/2017 — 05/31/2018,10/01/1963,"$800,273,120",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"3,104","3,214","3,080","9,398",579,"9,977","10,826",0,0,$0,$0,$0,$0,$0,$0,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-5194,59-0624458,611000,Cristina Elgarresta,Retirement Committee University of Miami,P.O. Box 248106 ,Coral Gables,FL,33124-2902,(305) 284-3004,59-1731945,"Xerox Hr Solutions, LLP","Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",Database Maintenance,"$106,240",$0,"$106,240"
