,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,Primecap Management Company,"Investment management, Direct payment from the plan",NONE,"$1,929,510",$0,"$1,929,510"
1,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,Silchester International Investor,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,423,181",$0,"$1,423,181"
2,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,Iridian Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,177,498",$0,"$1,177,498"
3,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,Conestoga Capital Advisors,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$960,312",$0,"$960,312"
4,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,Ofi Institutional Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$951,178",$0,"$951,178"
5,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,Cooke & Bieler Inc.,"Investment advisory (plan), Direct payment from the plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$803,342",$0,"$803,342"
6,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,"John W. Bristol & Co., Inc.","Investment management, Direct payment from the plan",NONE,"$768,875",$0,"$768,875"
7,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,Capital Guardian Trust Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$404,101",$0,"$404,101"
8,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,Western Asset Management Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$261,186",$0,"$261,186"
9,RETIREMENT PLAN OF NORFOLK SOUTHERN CORPORATION AND PARTICIPATING,https://www.brightscope.com/form-5500/basic-info/247832/Norfolk-Southern-Corporation/13913897/Retirement-Plan-Of-Norfolk-Southern-Corporation-And-Participating-Subsidiary-Companies/,NORFOLK SOUTHERN CORPORATION,01/01/2018 — 12/31/2018,06/01/1982,"$2,093,941,334",1,Single Employer,No,Yes,Trust,Trust,"5,622","6,294","1,188","13,104","1,747","14,851","15,167",0,109,$0,$0,$0,$0,$0,$0,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,551112,Michelle L. Thompson,Board of Managers Ns Retirement Plan,Three Commercial Place ,Norfolk,VA,23510-2108,(757) 668-1660,52-1188014,"Lcg Associates, Inc.","Consulting (pension), Direct payment from the plan",NONE,"$250,000",$0,"$250,000"
