,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 06/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 07/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$1,830,126",$0,"$1,830,126"
1,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,American Red Cross Salaries,"Employee (plan), Other services, Direct payment from the plan",Plan Sponsor,"$1,732,339",$0,"$1,732,339"
2,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,The Energy and Minerals Group,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Finders' fees/placement fees",NONE,"$1,217,025","$9,648","$1,226,673"
3,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,State Street Bank and Trust Company,"Custodial (securities), Trustee (directed), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Non-monetary compensation, Float revenue, Distribution (12b-1) fees, Other fees",Trustee,"$1,124,026",$0,"$1,124,026"
4,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,"Nisa Investment Advisors, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,098,886",$0,"$1,098,886"
5,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,John Hancock,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Other insurance fees and expenses",NONE,"$985,388",$0,"$985,388"
6,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,J.P. Morgan Chase,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$453,408",$0,"$453,408"
7,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,"Barra, LLC","Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$420,505",$0,"$420,505"
8,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,"Morgan, Lewis & Bockius LLP","Legal, Direct payment from the plan",NONE,"$364,269",$0,"$364,269"
9,RETIREMENT SYSTEM OF THE AMERICAN NATIONAL RED CROSS,https://www.brightscope.com/form-5500/basic-info/257115/American-National-Red-Cross/13927992/Retirement-System-Of-The-American-National-Red-Cross/2018/,The American National Red Cross,07/01/2017 — 06/30/2018,05/01/1936,"$1,911,087,850",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"7,851","7,240","8,973","24,064",339,"24,403","24,917",0,66,$0,$0,$0,$0,$0,$0,"431 18th Street, NW ",Washington,DC,20006,(202) 303-5343,53-0196605,624200,Gary Stradiotto,"Revolution Growth Iii, Lp","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$363,472",$0,"$363,472"
