,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,Wells Capital Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$853,117",$0,"$853,117"
1,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,Epoch Investment Partners,"Investment management, Investment management fees paid directly by plan",NONE,"$809,484",$0,"$809,484"
2,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,Victory Capital Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions, Other fees",NONE,"$763,379",$0,"$763,379"
3,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,Standard Life Investments,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$690,783",$0,"$690,783"
4,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,Primecap Management Company,"Investment management, Investment management fees paid directly by plan",NONE,"$607,552",$0,"$607,552"
5,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,Lazard Asset Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$568,155",$0,"$568,155"
6,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,Parametric Portfolio Associates LLC,"Investment management, Investment management fees paid directly by plan",NONE,"$494,117",$0,"$494,117"
7,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,"Loomis Sayles & Company, L.P.","Investment management, Investment management fees paid directly by plan",NONE,"$447,516",$0,"$447,516"
8,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,Mellon Capital Management,"Investment management, Investment management fees paid directly by plan, Custodial (securities), Securities brokerage commissions and fees, Trustee (bank, trust company, or similar financial institution)",NONE,"$440,779",$0,"$440,779"
9,ROCKWELL COLLINS PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/256085/Rockwell-Collins-Inc/13913840/Rockwell-Collins-Pension-Plan/,ROCKWELL COLLINS  INC,01/01/2018 — 12/31/2018,12/06/1996,$0,1,Single Employer,Yes,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"27,566",0,0,$0,$0,$0,$0,$0,$0,4 Farm Springs Road ,Farmington,CT,06032,(860) 728-7000,52-2314475,335900,Rosa Barone,Rosa Barone,Hotchkis & Wiley Captial Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$427,544",$0,"$427,544"
