,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2013,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2013,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,Hewitt Associates,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",Rdkpinmt,"$3,037,585",$0,"$3,037,585"
1,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,Sands Capital Magagement,Investment management fees paid directly by plan,Investment Management,"$2,060,536",$0,"$2,060,536"
2,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,Walter Scott and Partners Ltd,"Investment management, Investment management fees paid directly by plan",Investment Management,"$1,614,421",$0,"$1,614,421"
3,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution)",Trustee Company,"$1,511,627",$0,"$1,511,627"
4,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,Frontier Capital Management Company,Investment advisory (plan),Investment Manager,"$1,244,513",$0,"$1,244,513"
5,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,Sei Investments,"Investment management, Investment management fees paid directly by plan",Investment Management,"$1,042,210",$0,"$1,042,210"
6,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,Lsv Asset Management,"Investment management, Investment management fees paid directly by plan",Investment Management,"$1,015,633",$0,"$1,015,633"
7,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,Dimensional Fund Advisors,"Legal, Investment management fees paid directly by plan",NONE,"$852,006",$0,"$852,006"
8,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,J.P Morgan Investment Mgt. Inc.,"Investment management, Investment advisory (plan)",Investment Management,"$785,015",$0,"$785,015"
9,RR DONNELLEY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/164324//13913856/Retirement-Benefit-Plan-Of-R-R-Donnelley-And-Sons-Company/,R. R. Donnelley & Sons Company,01/01/2013 — 12/31/2013,03/01/1941,$0,1,Single Employer,No,Yes,This is the final report filed for the plan.,InsuranceTrust,InsuranceTrust,0,0,0,0,0,0,"69,068",0,0,$0,$0,$0,$0,$0,$0,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,36-1004130,323100,Anne Pease,Anne Pease,Benefits Committee,111 South Wacker Drive 36th Floor,Chicago,IL,60606-4301,(312) 326-8000,20-1730106,Pacific Investment Management Compa,Investment management,Investment Management,"$778,295",$0,"$778,295"
