,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,Fidelity Investments Inst. Op. Co.,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant communication, Direct payment from the plan",NONE,"$2,917,294",$0,"$2,917,294"
1,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,Blackrock Institutional Trust Co.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$2,403,893",$0,"$2,403,893"
2,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,Western Asset Management,"Investment management, Investment management fees paid directly by plan",NONE,"$2,058,892",$0,"$2,058,892"
3,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,Wellington Management,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$2,022,423",$0,"$2,022,423"
4,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,Logan Circle Partners,"Investment management, Investment management fees paid directly by plan",NONE,"$1,769,954",$0,"$1,769,954"
5,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,The Bank of New York Mellon,"Custodial (securities), Direct payment from the plan, Float revenue, Other fees",NONE,"$1,504,766",$0,"$1,504,766"
6,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,Dodge & Cox,"Investment management, Investment management fees paid directly by plan",NONE,"$1,407,177",$0,"$1,407,177"
7,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,Prudential Investment Management,"Investment management, Investment management fees paid directly by plan",NONE,"$1,273,905",$0,"$1,273,905"
8,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,Russell Implementatoin Services,"Investment management, Investment management fees paid directly by plan, Securities brokerage commissions and fees",NONE,"$591,463",$0,"$591,463"
9,SHELL PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/997405/Shell-Oil-Company/13913717/Shell-Pension-Plan/,Shell Oil Company,01/01/2018 — 12/31/2018,01/01/1938,"$14,328,162,501",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"16,714","24,913","10,027","51,654","5,866","57,520","57,915",0,226,$0,$0,$0,$0,$0,$0,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,13-1299890,324110,Cynthia A.P. Deere,Administrator - Shell Pension Trust,P.O. Box 1438 ,Houston,TX,77251-1438,(832) 337-2445,74-1865492,Guggenheim Partners,"Investment management, Investment management fees paid directly by plan",NONE,"$565,491",$0,"$565,491"
