,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,Willis Towers Watson,"Actuarial, Consulting (general)",NONE,"$2,044,532",$0,"$2,044,532"
1,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,Conduent,Account maintenance fees,NONE,"$381,060",$0,"$381,060"
2,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,Deloitte & Touche LLP,Accounting (including auditing),NONE,"$318,262",$0,"$318,262"
3,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,Legal & General Invest Mgmt America,Investment management,NONE,"$311,243",$0,"$311,243"
4,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,Wellington Fd,Investment management,NONE,"$291,066",$0,"$291,066"
5,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,William Blair,Investment management,NONE,"$287,357",$0,"$287,357"
6,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,Prudential,Investment management,NONE,"$280,080",$0,"$280,080"
7,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,Mondrian,Investment management,NONE,"$269,388",$0,"$269,388"
8,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,"Principal Global Investors, LLC",Investment management,NONE,"$262,560",$0,"$262,560"
9,SOUTHERN CALIFORNIA GAS COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/423184/Southern-California-Gas-Company/13913894/Southern-California-Gas-Company-Pension-Plan/,Southern California Gas Company,01/01/2018 — 12/31/2018,09/01/1932,"$1,758,997,242",1,Single Employer,Yes,Yes,Trust,InsuranceTrust,"7,593","1,874","1,311","10,778",423,"11,201","13,331",0,23,$0,$0,$0,$0,$0,$0,488 8th Ave Hq04N5 ,San Diego,CA,92101-7123,(619) 696-2000,95-1240705,221210,Randall L. Clark,Brookfield,Investment management,NONE,"$236,630",$0,"$236,630"
