,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 11/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 12/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,Towers Watson Delaware Inc.,"Actuarial, Contract Administrator, Direct payment from the plan",NONE,"$1,597,294",$0,"$1,597,294"
1,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,Northern Trust,"Trustee (bank, trust company, or similar financial institution), Investment management, Direct payment from the plan, Float revenue",NONE,"$622,905",$0,"$622,905"
2,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,Legal & General,"Investment management, Investment management fees paid directly by plan",NONE,"$406,393",$0,"$406,393"
3,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,NTGA,"Investment advisory (plan), Direct payment from the plan",NONE,"$388,988",$0,"$388,988"
4,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,AEW,"Investment management, Investment management fees paid directly by plan",NONE,"$339,036",$0,"$339,036"
5,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,Income Research Management,"Investment management, Investment management fees paid directly by plan",NONE,"$307,558",$0,"$307,558"
6,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,LSV,"Investment management, Investment management fees paid directly by plan",NONE,"$293,947",$0,"$293,947"
7,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,Alliance Bernstein,"Investment management, Investment management fees paid directly by plan",NONE,"$273,396",$0,"$273,396"
8,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,Logan Circle Partners Lp,"Investment management, Investment management fees paid directly by plan",NONE,"$263,342",$0,"$263,342"
9,SPRINT RETIREMENT PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/239221//13913922/Sprint-Retirement-Pension-Plan/,Sprint Communications  Inc.,12/01/2017 — 11/30/2018,01/01/1966,"$1,430,929,894",1,Single Employer,No,Yes,Trust,Trust,"6,489","9,674","15,906","32,069","1,026","33,095","33,572",0,6,$0,$0,$0,$0,$0,$0,Mailstop Ksophe0210-2B400 6360 Sprint Parkway,Overland Park,KS,66251,(913) 762-6518,48-0457967,517000,Collier W. Case,Collier W. Case Ksophe0210-2B400,6360 Sprint Parkway ,Overland Park,KS,66251,(913) 762-6518,20-5279076,Pacific Investment Mgt Co. Pimco,"Investment management, Investment management fees paid directly by plan",NONE,"$186,326",$0,"$186,326"
