,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,Huber Capital Management,"Investment management, Direct payment from the plan",NONE,"$1,650,187",$0,"$1,650,187"
1,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,"Sands Capital Management, LLC","Investment management, Direct payment from the plan",NONE,"$1,286,309",$0,"$1,286,309"
2,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Investment management, Securities brokerage, Direct payment from the plan, Other fees",NONE,"$1,277,595",$0,"$1,277,595"
3,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,"Timessquare Capital Management, LLC","Investment management, Direct payment from the plan",NONE,"$1,263,970",$0,"$1,263,970"
4,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,Marathon-London,"Investment management, Direct payment from the plan",NONE,"$1,245,698",$0,"$1,245,698"
5,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,Capital Guardian Trust Co.,"Investment management, Direct payment from the plan",NONE,"$1,207,312",$0,"$1,207,312"
6,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,"Northern Cross, LLC","Investment management, Direct payment from the plan",NONE,"$1,161,124",$0,"$1,161,124"
7,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,Deprince Race & Zollo Inc.,"Investment management, Direct payment from the plan",NONE,"$1,109,385",$0,"$1,109,385"
8,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,"Next Century Growth Investors, LLC","Investment management, Direct payment from the plan",NONE,"$1,105,023",$0,"$1,105,023"
9,SUTTER HEALTH RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/659387/Sutter-Health/13913834/Sutter-Health-Retirement-Plan/,Sutter Health,01/01/2018 — 12/31/2018,04/01/1959,"$4,195,100,509",333,Single Employer,Yes,Yes,Trust,Trust,"36,502","7,550","13,046","57,098",698,"57,796","56,941",0,"2,123",$0,$0,$0,$0,$0,$0,"2700 Gateway Oaks Drive, Suite 1200 ",Sacramento,CA,95833,(916) 887-7232,94-2788907,622000,Diane Schnabel,Western Asset Management Company,"Investment management, Direct payment from the plan",NONE,"$960,963",$0,"$960,963"
