,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,Mercer Investment Mgmt.,"Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$2,374,377",$0,"$2,374,377"
1,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,Willis Towers Watson,"Actuarial, Direct payment from the plan",NONE,"$2,130,293",$0,"$2,130,293"
2,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,Copperock,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$780,551",$0,"$780,551"
3,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,Nisa Investment Advisors,"Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$703,068",$0,"$703,068"
4,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,Logan Circle Partners,"Investment management, Direct payment from the plan",NONE,"$588,343",$0,"$588,343"
5,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,Investec Em Mkts Local Currency,"Investment management, Investment management fees paid directly by plan",NONE,"$540,061",$0,"$540,061"
6,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,Northern Trust,"Insurance services, Direct payment from the plan",NONE,"$529,059",$0,"$529,059"
7,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,Western Asset Management Company,Investment management fees paid directly by plan,,"$413,441",$0,"$413,441"
8,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,Baillie Gifford Acwi,Investment management fees paid directly by plan,NONE,"$344,066",$0,"$344,066"
9,Sysco Corporation Retirement Plan,https://www.brightscope.com/form-5500/basic-info/343336/Sysco-Corporation/13913849/Sysco-Corporation-Retirement-Plan/,SYSCO CORPORATION,01/01/2018 — 12/31/2018,07/01/1973,"$3,572,537,513",4,Single Employer,No,Yes,Trust,Trust,"16,826","8,894","13,932","39,652","1,540","41,192","40,446",0,125,$0,$0,$0,$0,$0,$0,1390 Enclave Parkway ,Houston,TX,77077-2099,(281) 584-2365,74-1648137,424400,"Redwood Investments, LLC",Investment management fees paid directly by plan,,"$300,425",$0,"$300,425"
