,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 09/30/2015,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 10/01/2014,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,Towers Watson,Account maintenance fees,Servie Provider,"$1,417,122",$0,"$1,417,122"
1,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,Western Asset Management Co,Investment management,Investment Manager,"$1,116,161",$0,"$1,116,161"
2,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,Mellon Capital Management,Investment management,Investment Management,"$1,090,199",$0,"$1,090,199"
3,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,The Bank of New York Mellon,"Custodial (other than securities), Custodial (securities)",Custodian,"$764,989",$0,"$764,989"
4,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,Universal Data Corporation,Account maintenance fees,Service Provider,"$751,904",$0,"$751,904"
5,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,Pacific Investment Management Compa,Investment management,Investment Manager,"$685,809",$0,"$685,809"
6,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,"Nisa Investment Advisors, L.L.C.",Investment management,Investment Manager,"$575,881",$0,"$575,881"
7,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,Standish Mellon Asset Management,Investment management,Investment Managaer,"$555,207",$0,"$555,207"
8,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,Barclays Global Investors,Investment management,Investment Manager,"$518,685",$0,"$518,685"
9,THE ASHLAND HERCULES PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/71974/Ashland-Inc/13927289/Ashland-Hercules-Pension-Plan/,VALVOLINE LLC,10/01/2014 — 09/30/2015,01/01/1913,"$2,598,977,479",1,Single Employer,No,Yes,Trust,Trust,"2,787","21,547","9,285","33,619","4,957","38,576","56,785",0,15,$0,$0,$0,$0,$0,$0,Po Box 14000 ,Lexington,KY,40512,(859) 357-7777,20-0865835,424600,Robin Swanson,Albourne America LLC,Consulting (general),Consultant,"$392,262",$0,"$392,262"
