,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,"Conduent Hr Consulting, LLC","Actuarial, Consulting (general), Direct payment from the plan",Actuary,"$2,957,207",$0,"$2,957,207"
1,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,Times Square Capital Mgmt,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgr,"$1,299,391",$0,"$1,299,391"
2,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,River Road Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgr,"$1,060,085",$0,"$1,060,085"
3,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,Blackstone,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgr,"$975,509",$0,"$975,509"
4,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,Ridgeworth Capital Mgmt,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgr,"$911,908",$0,"$911,908"
5,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,Goldman Sachs Asset Mgmt,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgr,"$772,756",$0,"$772,756"
6,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,Lazard Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgr,"$668,435",$0,"$668,435"
7,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,Baillie Gifford Int'L LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgr,"$660,311",$0,"$660,311"
8,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,Jennison Associates Capital Corp,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgr,"$601,386",$0,"$601,386"
9,THE BANK OF NEW YORK MELLON CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/718471//757018/The-Bank-Of-New-York-Mellon-Corporation-Pension-Plan/2018/,The Bank of New York Mellon,01/01/2018 — 12/31/2018,01/01/1972,"$5,272,842,577",1,Single Employer,No,Yes,Trust,Trust,"11,247","18,193","29,496","58,936","1,898","60,834","61,905",0,0,$0,$0,$0,$0,$0,$0,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,523900,Robert Perego,Benefits Administration Committee,"Bny Mellon Center, Room 3118 ",Pittsburgh,PA,15258-0001,(412) 234-4840,13-5160382,Franklin Templeton,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Mgr,"$596,070",$0,"$596,070"
