,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,"Conduent Hr Services, LLC","Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.)",Service Provider,"$5,441,026",$0,"$5,441,026"
1,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,The Boeing Co and Consolidated Subs,"Accounting (including auditing), Plan Administrator, Investment management",Plan Sponsor,"$2,170,503",$0,"$2,170,503"
2,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,State Street Bank - Pension Service,"Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Other services, Direct payment from the plan",Service Provider,"$455,371",$0,"$455,371"
3,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,Willis Towers Watson,"Actuarial, Consulting (pension), Direct payment from the plan, Consulting fees",Service Provider,"$206,682",$0,"$206,682"
4,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,"Plante & Moran, PLLC","Accounting (including auditing), Direct payment from the plan",Auditor,"$37,276",$0,"$37,276"
5,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,"Deloitte & Touche, LLP","Accounting (including auditing), Direct payment from the plan",Auditor,"$27,022",$0,"$27,022"
6,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,Alight Solutions LLC,"Participant communication, Direct payment from the plan",Service Provider,"$24,375",$0,"$24,375"
7,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,Foley & Lardner LLP,"Legal, Direct payment from the plan",Service Provider,"$23,197",$0,"$23,197"
8,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,Guidespark,"Other services, Direct payment from the plan",Service Provider,"$9,750",$0,"$9,750"
9,THE BOEING COMPANY EMPLOYEE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/394000//13913704/The-Boeing-Company-Employee-Retirement-Plan/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1955,"$18,762,254,193",1,Single Employer,Yes,Yes,Trust,Trust,"46,315","56,856","20,263","123,434","15,381","138,815","142,211",0,23,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,Total,Total,Total,"$8,395,202",$0,"$8,395,202"
