,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.)",Recordkeeper,"$965,893",$0,"$965,893"
1,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Numeric Investors LLC,"Investment management, Investment management fees paid directly by plan",Investment Management,"$394,438",$0,"$394,438"
2,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,The Bank of New York Mellon,"Custodial (other than securities), Custodial (securities)",Custodial,"$339,405",$0,"$339,405"
3,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,"Arrowstreet Capital, Limited",Investment management,Investment Management,"$270,933",$0,"$270,933"
4,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,"Adage Capital Partners, Lp",Investment management,Investment Management,"$256,899",$0,"$256,899"
5,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Wgi Emerging Markets Fund LLC,Investment management,Investment Management,"$229,608",$0,"$229,608"
6,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Wellington Trust Company,Investment management,Investment Management,"$211,708",$0,"$211,708"
7,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Citadel Global Equities Fund Ltd,Investment management,Investment Manager,"$207,279",$0,"$207,279"
8,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,Oxam Quant Fund,Investment management,Investment Management,"$193,059",$0,"$193,059"
9,THE CCHS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/528374/The-Cleveland-Clinic-Foundation/13914015/The-Cchs-Retirement-Plan/,The Cleveland Clinic Foundation,01/01/2018 — 12/31/2018,01/01/1941,"$1,177,923,209",1,Single Employer,No,Yes,InsuranceTrust,Trust,"17,683","5,152","7,411","30,246",417,"30,663","32,138",0,0,$0,$0,$0,$0,$0,$0,9500 Euclid Avenue Ac-341 ,Cleveland,OH,44195-0001,(216) 448-0801,34-0714585,622000,Timothy Longville,J P Morgan Investment,Investment management,Investment Manager,"$159,167",$0,"$159,167"
