,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,Willis Towers Watson,"Actuarial, Direct payment from the plan",NONE,"$10,763,572",$0,"$10,763,572"
1,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,Citigroup,"Consulting (general), Direct payment from the plan",NONE,"$3,993,241",$0,"$3,993,241"
2,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,"Blackrock Institutional Trust Co.,","Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$3,927,307",$0,"$3,927,307"
3,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,Bank of New York Mellon,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Trustee (bank, trust company, or similar financial institution), Trustee (directed), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",Trustee,"$2,348,190",$0,"$2,348,190"
4,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,Select Equity,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$2,126,438",$0,"$2,126,438"
5,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,Pimco,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,642,537",$0,"$1,642,537"
6,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,Gso Energy,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,323,592",$0,"$1,323,592"
7,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,Third Point LLC,"Investment management fees paid indirectly by plan, Other investment fees and expenses",NONE,$0,"$1,209,211","$1,209,211"
8,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,Lazard Asset Management LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,183,470",$0,"$1,183,470"
9,THE CITIGROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/250031/Citigroup-Inc/13913711/Citigroup-Pension-Plan/2018/,Citigroup Inc.,01/01/2018 — 12/31/2018,07/01/1959,"$12,117,705,136",20,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"24,144","44,749","84,334","153,227",0,"153,227","158,035",0,0,$0,$0,$0,$0,$0,$0,750 Washington Blvd 8th Floor ,Stamford,CT,06901,(718) 248-1031,52-1568099,523900,Lori Szerencsy,John Santoro,Citi Pension Center,P.O. Box 5854 ,Hopkins,MN,55343,(800) 881-3938,23-1159360,Wamco,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,016,692",$0,"$1,016,692"
