,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2010,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2010,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Mellon Bank Na Corp,Investment management fees paid directly by plan,NONE,"$630,916",$0,"$630,916"
1,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Wellington Ctf Oi,Investment management fees paid directly by plan,NONE,"$387,156",$0,"$387,156"
2,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Templeton,Investment management fees paid directly by plan,NONE,"$263,091",$0,"$263,091"
3,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Gmo Global Rr,Investment management fees paid directly by plan,NONE,"$252,211",$0,"$252,211"
4,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Wm Blair International,Investment management fees paid directly by plan,NONE,"$214,935",$0,"$214,935"
5,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Fidelity,Investment management fees paid directly by plan,NONE,"$171,256",$0,"$171,256"
6,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Buckhead Capital Investment,Investment management fees paid directly by plan,NONE,"$153,423",$0,"$153,423"
7,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Aon Cousulting,Actuarial,NONE,"$130,675",$0,"$130,675"
8,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Bernzott Capital Investment,Investment management fees paid directly by plan,NONE,"$127,275",$0,"$127,275"
9,THE DETROIT MEDICAL CENTER CONSOLIDATED PENS PLAN,https://www.brightscope.com/form-5500/basic-info/550168//13930219/Detroit-Medical-Center-Consolidated-Pension-Plan/,VHS of Michigan,01/01/2010 — 12/31/2010,01/01/1987,"$756,218,154",2,Single Employer,No,Yes,Trust,Trust,"6,870","5,793","9,266","21,929",364,"22,293","22,495",0,374,$0,$0,$0,$0,$0,$0,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2063,38-2571767,622000,David J. Weiner,William F. Rochefort,Administrative Committee of The Dmc Consolidated Pension Plan,3663 Woodward Avenue Suite 200,Detroit,MI,48201-2403,(313) 578-2538,38-2733381,Northern Trust Company,Trustee (directed),NONE,"$124,347",$0,"$124,347"
