,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 04/30/2019,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 05/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Karpus Management,Investment management,Investment Manager,"$517,271",$0,"$517,271"
1,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Non-Us Equity Mgrs,Investment management,Investment Manager,"$336,868",$0,"$336,868"
2,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Delaware,Investment management,Investment Manager,"$186,838",$0,"$186,838"
3,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Shapiro,Investment management,Investment Manager,"$157,250",$0,"$157,250"
4,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Yacktman,Investment management,Investment Manager,"$148,807",$0,"$148,807"
5,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Harris,Investment management,Investment Manager,"$120,713",$0,"$120,713"
6,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Epoch,Investment management,Investment Manager,"$89,108",$0,"$89,108"
7,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Diamond Hill,Investment management,Investment Manager,"$82,712",$0,"$82,712"
8,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Aetna,Investment management,Investment Manager,"$79,528",$0,"$79,528"
9,THE GOLUB CORPORATION EMPLOYEES' RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/55674/Golub-Corporation/13763142/Golub-Corporation-Employees-Retirement-Plan/,THE GOLUB CORPORATION,05/01/2018 — 04/30/2019,01/01/1974,"$354,845,383",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"10,102","1,121","3,355","14,578",299,"14,877","15,218",0,358,$0,$0,$0,$0,$0,$0,461 Nott Street ,Schenectady,NY,12308,(518) 355-5000,14-0724820,445110,Leo Taylor,James Peterson,Soundshore,Investment management,Investment Manager,"$58,164",$0,"$58,164"
