,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Tiger Global Private Invstment Part,"Investment management, Investment management fees paid indirectly by plan",NONE,$0,"$5,921,034","$5,921,034"
1,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,"Jpmorgan Chase Bank, N.A.","Plan Administrator, Direct payment from the plan",Plan Sponsor,"$3,409,360",$0,"$3,409,360"
2,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Wellington Management,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$3,340,613","$48,392","$3,389,005"
3,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Tiger Global Private Invstment Part,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$486,551","$2,774,964","$3,261,515"
4,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Cantillon Capital Management LLC,"Investment management, Investment management fees paid directly by plan",NONE,"$2,925,484",$0,"$2,925,484"
5,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Blackrock Institutional Trust Co,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$2,553,239",$0,"$2,553,239"
6,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,P2 Brasil Private Infra Partner II,"Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$2,386,303","$3,508","$2,389,811"
7,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Generation Investment Mgmt U.S. LLP,"Investment management, Investment management fees paid directly by plan",NONE,"$2,331,457",$0,"$2,331,457"
8,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Pimco LLC,"Investment advisory (plan), Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$2,267,899",$0,"$2,267,899"
9,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,"Geneva Investment Mgmt, LLC","Investment management, Investment management fees paid directly by plan",NONE,"$1,944,739",$0,"$1,944,739"
10,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Edgewood Management LLC,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,782,540","$23,364","$1,805,904"
11,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,"Hony Capital Fund V, Lp","Investment management, Investment management fees paid directly by plan",NONE,"$1,777,486",$0,"$1,777,486"
12,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Hig Capital Partners,"Investment management, Investment management fees paid directly by plan",NONE,"$1,633,009",$0,"$1,633,009"
13,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,"Vulcan Value Partners, LLC","Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$1,554,348",$0,"$1,554,348"
14,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,"Brigade Capital Management, Lp","Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,534,510",$0,"$1,534,510"
15,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Mercer,"Actuarial, Consulting (pension), Direct payment from the plan",NONE,"$1,396,042",$0,"$1,396,042"
16,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Eqt Services (Uk) Limited,"Investment management, Investment management fees paid directly by plan",NONE,"$1,319,215",$0,"$1,319,215"
17,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,"Vivo Capital, LLC","Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$635,216","$633,948","$1,269,164"
18,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Mondrian Investment Partners Ltd,"Investment management, Investment management fees paid directly by plan",NONE,"$1,245,638",$0,"$1,245,638"
19,THE JPMORGAN CHASE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/54937//1082661/The-Jpmorgan-Chase-Retirement-Plan/,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,04/01/1934,"$14,509,844,832",1,Single Employer,No,Yes,Trust,InsuranceTrust,"148,789","36,583","112,704","298,076","4,402","302,478","298,422",0,"4,433",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,(877) 576-2427,37-1589439,Trinity Street Asset Management LLP,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,185,677",$0,"$1,185,677"
