,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Investment management",NONE,"$435,394",$0,"$435,394"
1,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,Ofi Trust Company,Investment advisory (plan),NONE,"$296,942",$0,"$296,942"
2,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,Rocaton Investment Advisors,Investment advisory (plan),NONE,"$214,565",$0,"$214,565"
3,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,Whitestar Advisors,Investment advisory (plan),NONE,"$200,000",$0,"$200,000"
4,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,T Rowe Price Stable Asst Mgmt Inc,Investment advisory (plan),NONE,"$192,156",$0,"$192,156"
5,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,"Towers Watson Delaware, Inc",Actuarial,NONE,"$108,600",$0,"$108,600"
6,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,Hogan & Hartson,Legal,NONE,"$80,091",$0,"$80,091"
7,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,State Street Global Advisors,Investment management fees paid directly by plan,NONE,"$52,119",$0,"$52,119"
8,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,Deloitte,Accounting (including auditing),NONE,"$50,000",$0,"$50,000"
9,THE MCCLATCHY COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/253914/The-Mcclatchy-Company/13913954/The-Mcclatchy-Company-Retirement-Plan/,The McClatchy Company,01/01/2018 — 12/31/2018,11/01/1944,"$1,259,928,723",2,Single Employer,No,Yes,Trust,Trust,"1,704","9,643","11,286","22,633","1,217","23,850","24,175",0,2,$0,$0,$0,$0,$0,$0,P. O. Box 15779 ,Sacramento,CA,95852-0779,(916) 321-1836,52-2080478,511110,Total,Total,Total,"$1,629,867",$0,"$1,629,867"
