,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Investment management fees paid directly by plan, Recordkeeping fees, Other fees",NONE,"$1,112,980",$0,"$1,112,980"
1,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,Clarion Partners LLC,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$330,733",$0,"$330,733"
2,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,Income Research & Mgmt. Inc.,"Investment management, Direct payment from the plan",NONE,"$221,690",$0,"$221,690"
3,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,"Lazard Asset Management, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Distribution (12b-1) fees, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$161,272",$0,"$161,272"
4,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,"Nepc, LLC","Consulting (general), Direct payment from the plan",NONE,"$124,635",$0,"$124,635"
5,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,Gryphon International Investment Co,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$120,912",$0,"$120,912"
6,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,Northern Trust Corporation,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Investment management fees paid directly by plan, Float revenue, Soft dollars commissions",NONE,"$111,917",$0,"$111,917"
7,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,"Mondrian Investment Group (Us), Inc","Investment management, Direct payment from the plan, Non-monetary compensation",NONE,"$109,725",$0,"$109,725"
8,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,William Blair Investment Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$108,394",$0,"$108,394"
9,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,Aon Consulting Group,"Consulting (general), Direct payment from the plan",NONE,"$107,360",$0,"$107,360"
10,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,"Plante & Moran, PLLC","Accounting (including auditing), Direct payment from the plan",NONE,"$41,000",$0,"$41,000"
11,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,"Baker & Hostetler, LLP","Legal, Direct payment from the plan",NONE,"$24,485",$0,"$24,485"
12,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,Principal Life Insurance Company,"Investment advisory (plan), Investment management, Direct payment from the plan",NONE,"$11,855",$0,"$11,855"
13,THE OHIOHEALTH CASH BALANCE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/522693/Ohiohealth/13914429/The-Ohiohealth-Cash-Balance-Retirement-Plan/,OHIOHEALTH CORPORATION,01/01/2018 — 12/31/2018,07/31/1961,"$679,068,166",333,Single Employer,No,Yes,Trust,Trust,"9,933","1,823","5,372","17,128",327,"17,455","15,750",0,96,$0,$0,$0,$0,$0,$0,3430 Ohiohealth Parkway ,Columbus,OH,43202,(614) 544-4408,31-4394942,622000,Richard Hoback,Total,Total,Total,"$2,586,958",$0,"$2,586,958"
