,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,"Conduent Hr Services, LLC","Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.)",Service Provider,"$6,586,298",$0,"$6,586,298"
1,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,The Boeing Company,"Accounting (including auditing), Plan Administrator, Investment management",Plan Sponsor,"$3,315,207",$0,"$3,315,207"
2,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,State Street Bank - Pension Service,"Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Other services, Direct payment from the plan",Service Provider,"$674,919",$0,"$674,919"
3,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,Willis Towers Watson,"Actuarial, Consulting (pension), Direct payment from the plan, Consulting fees",Service Provider,"$549,770",$0,"$549,770"
4,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,Aon Hewitt,"Consulting (pension), Direct payment from the plan",Service Provider,"$135,885",$0,"$135,885"
5,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,State Street Global Advisors,"Other services, Investment management fees paid directly by plan",Service Provider,"$89,732",$0,"$89,732"
6,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,"Plante & Moran, PLLC","Accounting (including auditing), Direct payment from the plan",Auditor,"$46,746",$0,"$46,746"
7,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,Deloitte & Touche,"Accounting (including auditing), Direct payment from the plan",Auditor,"$41,725",$0,"$41,725"
8,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,K&L Gates,"Legal, Direct payment from the plan",Service Provider,"$17,705",$0,"$17,705"
9,THE PENSION VALUE PLAN FOR EMPLOYEES OF THE BOEING COMPANY,https://www.brightscope.com/form-5500/basic-info/394000/The-Boeing-Company/13913698/The-Pension-Value-Plan-For-Employees-Of-The-Boeing-Company/,The Boeing Company and Consolidated Subsidiaries,01/01/2018 — 12/31/2018,01/01/1999,"$28,214,920,991",100,Single Employer,No,Yes,Trust,Trust,"47,038","56,081","30,182","133,301","7,882","141,183","153,868",0,59,$0,$0,$0,$0,$0,$0,P.O. Box 3707 M/C 6X7-04 ,Seattle,WA,98124-2207,(866) 473-2016,91-0425694,336410,Heather Haynes-O'Brien,Employee Benefit Plans Committee The Boeing Company,100 N. Riverside Plaza ,Chicago,IL,60606-1596,(312) 544-2297,58-2405861,Foley & Lardner Lp,"Legal, Direct payment from the plan",Service Provider,"$5,484",$0,"$5,484"
