,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$5,110,670",$0,"$5,110,670"
1,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,"Aberdeen Asset Mgt., Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Securities brokerage commissions and fees, Other fees",NONE,"$3,107,122",$0,"$3,107,122"
2,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,Marathon Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Securities brokerage commissions and fees",NONE,"$2,057,447",$0,"$2,057,447"
3,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,Baille Gifford Overseas Ltd,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Securities brokerage commissions and fees",NONE,"$1,823,544",$0,"$1,823,544"
4,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,"Prudential Investment Mgt., Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,235,376",$0,"$1,235,376"
5,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,The Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Shareholder servicing fees, Float revenue, Other fees",NONE,"$1,008,623",$0,"$1,008,623"
6,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,Pacific Investment Mgmt Co LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$995,284",$0,"$995,284"
7,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,Centersquare Inv Mngmt Inc.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions, Other fees",NONE,"$799,482",$0,"$799,482"
8,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,First Principles Capital Mgt,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$736,153",$0,"$736,153"
9,THE PNC FINANCIAL SERVICES GROUP INC PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/513846/The-Pnc-Financial-Services-Group-Inc/13913769/The-Pnc-Financial-Services-Group-Inc-Pension-Plan/2018/,The PNC Financial Services Group  Inc.,01/01/2018 — 12/31/2018,01/01/1984,"$4,965,326,000",2,Single Employer,No,Yes,Trust,Trust,"48,438","24,183","27,456","100,077","1,175","101,252","101,951",0,"6,878",$0,$0,$0,$0,$0,$0,"249 Fifth Avenue, 21st Floor P1-Popp-21-B",Pittsburgh,PA,15222,(412) 768-5765,25-1435979,522110,Crystal Calla,Aew Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$692,307",$0,"$692,307"
