,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,The Prudential Insurance Company,"Contract Administrator, Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Other investment fees and expenses",Employer,"$8,825,646",$985,"$8,826,631"
1,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,Alight Associates LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant communication, Direct payment from the plan",NONE,"$5,533,893",$0,"$5,533,893"
2,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,Connecticut General Life Ins Co,"Claims processing, Contract Administrator, Named fiduciary, Participant communication, Other services, Direct payment from the plan, Non-monetary compensation, Float revenue",NONE,"$3,803,012",$0,"$3,803,012"
3,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,Prudential Trust Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Other investment fees and expenses",Trustee/Affiliate,"$3,718,591",$0,"$3,718,591"
4,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,Prudential Investment Mgt Inc,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Other investment fees and expenses",Affiliate,"$983,619",$0,"$983,619"
5,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,Bellwether Consulting Inc,"Investment advisory (plan), Direct payment from the plan",NONE,"$478,281",$0,"$478,281"
6,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,Unitedhealthcare Insurance Company,"Claims processing, Direct payment from the plan",NONE,"$365,000",$0,"$365,000"
7,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,Express Scripts,"Claims processing, Direct payment from the plan",NONE,"$356,054",$0,"$356,054"
8,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,"Sb & Company, LLC","Accounting (including auditing), Direct payment from the plan",NONE,"$181,059",$0,"$181,059"
9,THE PRUDENTIAL MERGED RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90372/The-Prudential-Insurance-Company-Of-America/13913731/The-Prudential-Merged-Retirement-Plan/,The Prudential Insurance Company of America,01/01/2018 — 12/31/2018,01/01/1941,"$8,011,924,219",3,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"20,194","7,375","17,556","45,125","1,280","46,405","45,602",0,"1,106",$0,$0,$0,$0,$0,$0,"751 Broad Street, 18th Floor ",Newark,NJ,07102-3777,(973) 802-4184,22-1211670,524140,Kevin Prue,Prudential Administrative Committee,"751 Broad Street, 17th Floor ",Newark,NJ,07102-3777,(973) 802-7663,22-6892273,Towers Watson Delaware Inc,"Accounting (including auditing), Actuarial, Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (general), Consulting (pension), Investment advisory (plan), Valuation (appraisals, etc.), Consulting fees",NONE,"$167,966",$0,"$167,966"
