,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Conduent Hr Services,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Recordkeeping fees",Recordkeeper,"$1,441,968",$0,"$1,441,968"
1,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Jp Morgan Us Active Core Plus Equit,"Investment management, Investment management fees paid directly by plan",Investment Management,"$897,653",$0,"$897,653"
2,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Southern California Edison Company,"Plan Administrator, Direct payment from the plan",Plan Sponsor,"$838,385",$0,"$838,385"
3,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Aon Consulting,"Actuarial, Direct payment from the plan",Actuarial,"$307,630",$0,"$307,630"
4,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Payden & Rygel,"Investment management, Investment management fees paid directly by plan",Investment Management,"$172,953",$0,"$172,953"
5,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Ranger Investment Management Lp,"Investment management, Investment management fees paid directly by plan",Investment Management,"$134,153",$0,"$134,153"
6,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Blackrock Msci Acwi Imi If,"Investment management, Investment management fees paid directly by plan",Investment Management,"$96,182",$0,"$96,182"
7,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Bny Mellon Asset Mgmt of No. Americ,"Investment management, Investment management fees paid directly by plan",Investment Management,"$87,171",$0,"$87,171"
8,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Simpson & Simpson CPA's,"Accounting (including auditing), Direct payment from the plan",Auditor,"$67,291",$0,"$67,291"
9,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423183/Edison-International/13913778/The-Southern-California-Edison-Company-Retirement-Plan/,Southern California Edison Company,01/01/2018 — 12/31/2018,07/01/1958,"$3,866,189,274",1,Single Employer,Yes,Yes,Trust,Trust,"11,962","5,132","5,722","22,816","1,622","24,438","25,388",0,92,$0,$0,$0,$0,$0,$0,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-1240335,221100,Southern California Edison Company Benefits Committee,2244 Walnut Grove Avenue ,Rosemead,CA,91770-3714,(626) 302-0008,95-3225971,Russel Investment Capital LLC,"Consulting (pension), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",Investment Management,"$65,794",$0,"$65,794"
