,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,Jp Morgan Investment Management Inc,"Investment management, Investment advisory (plan), Investment management fees paid directly by plan",NONE,"$4,939,960","$145,076","$5,085,036"
1,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,Aberdeen Investments Inc.,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$2,940,509",$0,"$2,940,509"
2,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,Southern Company Services,"Plan Administrator, Direct payment from the plan",Plan Sponsor,"$2,714,185",$0,"$2,714,185"
3,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,Morgan Stanley,"Investment management, Investment management fees paid directly by plan",NONE,"$2,600,327",$0,"$2,600,327"
4,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",Recordkeeper,"$2,574,786",$0,"$2,574,786"
5,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,Mondrian Investment Partners,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$2,347,269",$0,"$2,347,269"
6,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,"Deprince, Race and Zollo","Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$2,121,414","$103,972","$2,225,386"
7,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,Prudential Prisa,"Investment management, Investment management fees paid directly by plan",NONE,"$2,221,707",$0,"$2,221,707"
8,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,Clarion Lion Properties,"Investment management, Investment management fees paid directly by plan",NONE,"$2,192,198",$0,"$2,192,198"
9,THE SOUTHERN COMPANY PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/314180/Southern-Company-Services-Inc/13913729/The-Southern-Company-Pension-Plan/,Southern Company Services  Inc.,01/01/2018 — 12/31/2018,11/01/1949,"$11,964,574,532",1,Single Employer,Yes,Yes,Trust,Trust,"26,509","20,469","5,000","51,978","4,118","56,096","59,976",0,368,$0,$0,$0,$0,$0,$0,30 Ivan Allen Jr Blvd NW Bin Sc900,Atlanta,GA,30308-3003,(404) 506-0840,63-0274273,221100,Robert Morris,"Retirement Board of Southern Company Services, Inc.",30 Ivan Allen Jr Blvd NW Bin Sc900 ,Atlanta,GA,30308-3003,(404) 506-0831,13-6044157,Chartwell Financial,"Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,873,204","$134,792","$2,007,996"
