,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,"Alight Solutions, LLC","Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (general), Consulting (pension), Direct payment from the plan",Record Keeper,"$1,240,708",$0,"$1,240,708"
1,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,Harding Loevner Lp,"Investment management, Investment management fees paid directly by plan",NONE,"$594,341",$0,"$594,341"
2,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,Genesis Asset Managers LLP,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$513,483",$0,"$513,483"
3,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,Western Asset Management Company,"Investment management fees paid directly by plan, Investment management",NONE,"$505,581",$0,"$505,581"
4,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,Towers Watson Delaware Inc.,"Actuarial, Direct payment from the plan",NONE,"$498,887",$0,"$498,887"
5,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,Rocaton Investment Advisors,"Investment advisory (plan), Direct payment from the plan",NONE,"$487,300",$0,"$487,300"
6,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,"Sanders Capital, LLC","Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$487,273",$0,"$487,273"
7,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,Nisa Investment Advisors LLC,"Investment management, Investment management fees paid directly by plan",NONE,"$468,265",$0,"$468,265"
8,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,T. Rowe Price Trust Company,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Soft dollars commissions",Investment Manager,"$434,041",$0,"$434,041"
9,THOMSON REUTERS GROUP PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/33396/Thomson-Reuters-Holdings-Inc/13913903/Thomson-Reuters-Group-Pension-Plan/,Thomson Reuters Holdings Inc.,01/01/2018 — 12/31/2018,04/01/1971,"$1,926,296,473",1,Single Employer,No,Yes,Trust,Trust,"3,010","2,518","8,632","14,160",171,"14,331","14,817",0,0,$0,$0,$0,$0,$0,$0,Metro Center At One Station Place ,Stamford,CT,06902-6897,(203) 539-8000,06-1497995,519100,Diane Gasser,"Barrow, Hanley, Mewhinney & Strauss","Investment management, Investment management fees paid directly by plan",NONE,"$400,671",$0,"$400,671"
