,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,Alight Solutions,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$622,540",$0,"$622,540"
1,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,Morgan Stanley,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$345,184",$0,"$345,184"
2,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,Lindsell Train Ltd,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$276,261",$0,"$276,261"
3,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,Silchester International,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$232,777",$0,"$232,777"
4,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,Towers Watson,"Actuarial, Direct payment from the plan",NONE,"$225,992",$0,"$225,992"
5,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,Fidelity Investments Institutional,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$213,870",$0,"$213,870"
6,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,Grantham Mayo Van Otterloo and Co,"Custodial (securities), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$188,858",$0,"$188,858"
7,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,Loomis Sayles and Company Lp,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$178,653",$0,"$178,653"
8,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,Blackrock Institutional Trust Co,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$122,873",$0,"$122,873"
9,The Estee Lauder Companies Retirement Growth Account Plan,https://www.brightscope.com/form-5500/basic-info/43978/Estee-Lauder-Inc/13914178/The-Estee-Lauder-Companies-Retirement-Growth-Account-Plan/2018/,Estee Lauder  Inc.,01/01/2018 — 12/31/2018,06/01/1964,"$803,154,237",1,Multiple Employer,No,Yes,Trust,Trust,"8,797","1,112","5,687","15,596",96,"15,692","15,902",0,166,$0,$0,$0,$0,$0,$0,"28 W. 23Rd Street, 8th Floor ",New York,NY,10010,(212) 572-4200,13-1871348,339900,The Estee Lauder Inc. Employee Benefits Committee,"767 Fifth Avenue, 43Rd Floor ",New York,NY,10153,(212) 572-4200,13-3430484,The Northern Trust Company,"Custodial (securities), Direct payment from the plan",NONE,"$122,485",$0,"$122,485"
