,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 06/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 07/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,"Sanderson Asset Management, Inc.",Investment management,NONE,"$379,064",$0,"$379,064"
1,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,Donald Smith & Co Inc.,Investment management,NONE,"$340,094",$0,"$340,094"
2,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,"Jensen Investment Management, Inc.",Investment management,NONE,"$265,933",$0,"$265,933"
3,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution)",NONE,"$214,352",$0,"$214,352"
4,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,Prudential Insurance Co.,Investment management,NONE,"$196,328",$0,"$196,328"
5,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,Prudential Retirement and Insurance,Contract Administrator,NONE,"$144,445",$0,"$144,445"
6,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,"Genesis Investment Management, LLP",Investment management,NONE,"$116,053",$0,"$116,053"
7,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,First Manhattan Co.,"Investment management, Securities brokerage, Securities brokerage commissions and fees",NONE,"$110,697",$0,"$110,697"
8,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,"Northern Trust Securities, Inc.","Securities brokerage, Securities brokerage commissions and fees",NONE,"$88,533",$0,"$88,533"
9,The Johns Hopkins University Support Staff Pension Plan,https://www.brightscope.com/form-5500/basic-info/570271/The-Johns-Hopkins-University/13931749/The-Johns-Hopkins-University-Support-Staff-Pension-Support-Staff-Pension-Plan/2018/,THE JOHNS HOPKINS UNIVERSITY,07/01/2017 — 06/30/2018,07/01/1970,"$551,766,028",2,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"3,989","2,833","2,534","9,356",381,"9,737","9,766",0,0,$0,$0,$0,$0,$0,$0,"Johns Hopkins University Tax Office 3910 Keswick Road, Suite N4327-B",Baltimore,MD,21211-2226,(410) 516-2000,52-0595110,611000,Clsa Americas,"Securities brokerage commissions and fees, Securities brokerage",NONE,"$6,715",$0,"$6,715"
