,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,Pacific Investment Management,Investment management,NONE,"$835,496",$0,"$835,496"
1,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,Nisa Investment Advisors,Investment management,NONE,"$459,810",$0,"$459,810"
2,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,Towers Watson,Actuarial,NONE,"$270,864",$0,"$270,864"
3,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution), Custodial (securities), Other fees",Contract Administrator,"$246,535",$0,"$246,535"
4,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,Aon Corporation,"Investment management, Consulting (general)",NONE,"$197,201",$0,"$197,201"
5,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,Examworks Inc,Account maintenance fees,NONE,"$37,115",$0,"$37,115"
6,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,Conduent Incorporated,Account maintenance fees,NONE,"$36,299",$0,"$36,299"
7,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,Blackrock Institutional Trust Compa,Investment management,NONE,"$28,780",$0,"$28,780"
8,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,United Forms Finishing,Account maintenance fees,NONE,"$15,913",$0,"$15,913"
9,The Trane Merged Hourly Pension Plan,https://www.brightscope.com/form-5500/basic-info/118374//13914098/The-Trane-Merged-Hourly-Pension-Plan/2018/,Trane U.S. Inc.,01/01/2018 — 12/31/2018,01/01/1956,"$865,514,449",23,Single Employer,Yes,Yes,InsuranceTrust,InsuranceTrust,"2,071","7,957","4,414","14,442","1,413","15,855","16,454",0,0,$0,$0,$0,$0,$0,$0,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,25-0900465,332900,Paul Longstreet,Christopher J. Kuehn,Benefits Administration Committee of Ingersoll-Rand Company,800 E Beaty Street ,Davidson,NC,28036,(704) 655-4000,22-2116054,Pension Benefit Information,"Account maintenance fees, Other fees",NONE,"$9,963",$0,"$9,963"
