,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 09/30/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 10/01/2017,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,Wellington Management Co. LLP,"Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$37,246","$10,560","$47,806"
1,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,"Towers Watson Delaware, Inc.","Actuarial, Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (pension), Valuation (appraisals, etc.), Direct payment from the plan, Recordkeeping fees, Consulting fees",NONE,"$38,495",$0,"$38,495"
2,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,"Sands Capital Management, LLC","Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$25,532",$0,"$25,532"
3,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant loan processing, Direct payment from the plan, Recordkeeping fees, Account maintenance fees",NONE,"$23,253",$0,"$23,253"
4,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,Lsv Asset Management,"Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$22,860",$0,"$22,860"
5,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,"Global Thematic Partners, LLC","Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$20,805",$0,"$20,805"
6,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$17,956",$0,"$17,956"
7,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,Cliftonlarsonallen,"Accounting (including auditing), Direct payment from the plan",NONE,"$11,500",$0,"$11,500"
8,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,Morgan Lewis & Bockius LLP,"Legal, Direct payment from the plan",NONE,"$10,744",$0,"$10,744"
9,Tyco Electronics Pension Plan,https://www.brightscope.com/form-5500/basic-info/104773/Te-Connectivity-Corporation/13917151/Tyco-Electronics-Pension-Plan-For-Represented-Employees/,Tyco Electronics Corporation,10/01/2017 — 09/30/2018,01/02/2001,"$30,526,623",49,Single Employer,Yes,Yes,Trust,Trust,0,248,118,366,12,378,381,0,0,$0,$0,$0,$0,$0,$0,1050 Westlakes Drive ,Berwyn,PA,19312,(717) 985-2044,23-0332575,335900,Melissa Vena,Western Asset Management,"Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$9,269",$0,"$9,269"
