,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,Strategic Investment Group,"Investment advisory (plan), Investment management fees paid directly by plan",NONE,"$6,387,131",$0,"$6,387,131"
1,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,Towers Watson Delaware Inc,"Actuarial, Consulting (general), Consulting (pension), Valuation (appraisals, etc.)",NONE,"$2,181,425",$0,"$2,181,425"
2,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,Bridgewater Pure Alpha Fund II Ltd,"Investment management, Investment management fees paid indirectly by plan",NONE,$0,"$1,508,404","$1,508,404"
3,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,Arrow Street Acwi Ex-Us Imi Aefii,"Investment management, Investment management fees paid directly by plan",NONE,"$1,266,224",$0,"$1,266,224"
4,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,Element Capital Feeder Fund Limited,"Investment management, Investment management fees paid indirectly by plan",NONE,$0,"$1,149,213","$1,149,213"
5,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,State Street Bank Trust,"Trustee (bank, trust company, or similar financial institution)",NONE,"$1,015,858",$0,"$1,015,858"
6,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,Panagora Asset Management (Equity),"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$339,605","$618,126","$957,731"
7,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,Bogle Off Shore Opportunity Fund II,"Investment management, Investment management fees paid indirectly by plan",NONE,$0,"$812,256","$812,256"
8,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,Genesis Emerging Market,"Investment management, Investment management fees paid directly by plan",NONE,"$766,205",$0,"$766,205"
9,U. S. RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/90831/Mars-Incorporated/13913775/U-S-Retirement-Plan/2018/,Mars Incorporated,01/01/2018 — 12/31/2018,01/01/1968,"$5,106,573,668",1,Single Employer,No,Yes,Trust,Trust,"13,278","10,510","8,812","32,600","1,495","34,095","33,011",0,335,$0,$0,$0,$0,$0,$0,350 Clark Drive Suite 202,Mount Olive,NJ,07828,(973) 691-3500,22-1594774,311300,Donna Farino,Usb Emerging Mkt Equity Opportunity,"Investment management, Investment management fees paid indirectly by plan",NONE,$0,"$702,616","$702,616"
