,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,Northern Trust Co.,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Soft dollars commissions",Trustee,"$546,153",$0,"$546,153"
1,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,Loomis Sayles and Co L.P.,"Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$468,543",$0,"$468,543"
2,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,Wells Capital Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$428,844",$0,"$428,844"
3,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$424,702",$0,"$424,702"
4,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,Artisan Partners,"Direct payment from the plan, Investment management fees paid directly by plan, Non-monetary compensation, Product termination fees (surrender charges, etc.)",NONE,"$405,367",$0,"$405,367"
5,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,"Eagle Capital Management, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$302,569",$0,"$302,569"
6,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,Ofi Global Trust Company,"Investment management, Direct payment from the plan",NONE,"$253,133",$0,"$253,133"
7,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,Prudential Insurance Co.,"Investment management, Direct payment from the plan",NONE,"$252,306",$0,"$252,306"
8,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,"Bradford & Marzec, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$234,022",$0,"$234,022"
9,UBS FINANCIAL SERVICES INC. PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/44842/Ubs-Financial-Services-Inc/13914106/Ubs-Financial-Services-Inc-Pension-Plan/,UBS Financial Services Inc.,01/01/2018 — 12/31/2018,07/01/1975,"$788,097,233",1,Single Employer,No,Yes,Trust,Trust,"1,461","4,654","3,214","9,329",984,"10,313","10,690",0,0,$0,$0,$0,$0,$0,$0,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-4880,13-2638166,523120,UBS Financial Services Inc.,"1000 Harbor Blvd., 10th Flr ",Weehawken,NJ,07086-6790,(201) 352-7845,22-3233985,Westfield Capital Mgmt Co. L.P.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$228,023",$0,"$228,023"
