,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,Fidelity Institutional Operations,"Contract Administrator, Recordkeeping and information management (computing, tabulating, data processing, etc.)",NONE,"$902,546",$0,"$902,546"
1,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,The Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Investment management fees paid directly by plan, Investment management, Redemption fees, Float revenue",NONE,"$895,747",$0,"$895,747"
2,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,Silchester International Investor,Investment management fees paid directly by plan,NONE,"$508,769",$0,"$508,769"
3,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,Pacific Investment Management Compa,Investment management fees paid directly by plan,NONE,"$379,020",$0,"$379,020"
4,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,Aqr Capital Management LLC,Investment management fees paid directly by plan,NONE,"$375,133",$0,"$375,133"
5,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,Univest Company B.V.,Investment management fees paid directly by plan,Member Controlled Group,"$298,403",$0,"$298,403"
6,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,Western Asset Mgmt,Investment management fees paid directly by plan,NONE,"$264,940",$0,"$264,940"
7,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,Wellington Management Co. LLP,"Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$254,487",$0,"$254,487"
8,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,Jennison Associates LLC,Investment management fees paid directly by plan,NONE,"$234,448",$0,"$234,448"
9,UNICARE RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/46054/Unilever-United-States-Inc/13913907/Unicare-Retirement-Plan/,Unilever United States Inc,01/01/2018 — 12/31/2018,06/01/1945,"$933,409,628",2,Single Employer,Yes,Yes,Trust,Trust,"1,834","3,348","5,595","10,777",365,"11,142","11,709",0,0,$0,$0,$0,$0,$0,$0,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(201) 894-7760,13-2915928,325600,Susan Long,Benefits Administration Committee,700 Sylvan Ave ,Englewood Cliffs,NJ,07632,(203) 816-3879,01-0916810,Russell Investments,"Consulting (pension), Securities brokerage commissions and fees",NONE,"$223,592",$0,"$223,592"
