,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,Willis Towers Watson,"Actuarial, Direct payment from the plan, Consulting (pension), Recordkeeping and information management (computing, tabulating, data processing, etc.)",None known,"$5,089,535",$0,"$5,089,535"
1,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Investment management fees paid directly by plan, Float revenue",None known,"$944,085",$0,"$944,085"
2,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,Covington & Burling LLP,"Legal, Direct payment from the plan",None known,"$305,525",$0,"$305,525"
3,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,"Jenner & Block, LLP",Legal,None known,"$261,000",$0,"$261,000"
4,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,Bloomberg Finance L.P.,"Direct payment from the plan, Other fees",None known,"$223,190",$0,"$223,190"
5,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,"Calypso Technology, Inc","Consulting (general), Other services, Direct payment from the plan, Consulting fees",None known,"$169,584",$0,"$169,584"
6,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,"Goldman Sachs Asset Management, Lp","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Non-monetary compensation",None known,"$152,083",$0,"$152,083"
7,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,Plante & Moran PLLC,"Consulting (general), Consulting (pension)",None known,"$113,825",$0,"$113,825"
8,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,T Rowe Price Asst Mgmt Inc.,"Investment advisory (plan), Direct payment from the plan, Investment management fees paid directly by plan",None known,"$36,075",$0,"$36,075"
9,UNION CARBIDE EMPLOYEES' PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/185005/The-Dow-Chemical-Company/13913727/Dow-Employees-Pension-Plan/2018/,Union Carbide Corporation,01/01/2018 — 12/31/2018,06/01/1947,"$13,030,309,938",1,Single Employer,Yes,Yes,Trust,Trust,"19,889","23,557","13,142","56,588","4,501","61,089","61,251",0,186,$0,$0,$0,$0,$0,$0,2211 H.H. Dow Way ,Midland,MI,48674,(989) 638-7140,38-1285128,325100,Bryan Jendretzke,The Dow Chemical Company,Dow North America Benefits 2211 H.H. Dow Way,Midland,MI,48674,(989) 638-7140,38-1285128,Evestment Alliance,"Consulting (general), Consulting (pension)",None known,"$33,256",$0,"$33,256"
