,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,Aon Consulting Inc,"Actuarial, Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Account maintenance fees",NONE,"$1,436,520",$0,"$1,436,520"
1,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,Wellington Management Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other investment fees and expenses",NONE,"$845,016",$0,"$845,016"
2,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,Legal and General Investment,"Investment management, Direct payment from the plan",NONE,"$318,382",$0,"$318,382"
3,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,Loomis Sayles Hy Fund,"Investment management, Direct payment from the plan, Investment management fees paid indirectly by plan",NONE,"$224,082",$0,"$224,082"
4,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,Wells Fargo,"Investment management, Direct payment from the plan",NONE,"$131,203",$0,"$131,203"
5,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,The Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Investment management fees paid directly by plan, Float revenue",NONE,"$130,272",$0,"$130,272"
6,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,State Street Bank and Trust Co.,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$57,430",$0,"$57,430"
7,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,State Street Global Advisor,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",NONE,"$27,544",$0,"$27,544"
8,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,Mellon Capital Management,"Investment management, Direct payment from the plan",NONE,"$9,129",$0,"$9,129"
9,UNIVERSITY HOSPITALS HEALTH SYSTEM RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/146633/University-Hospitals-Health-System/13914358/University-Hospitals-Health-System-Inc-Retirement-Plan/2018/,University Hospitals,01/01/2018 — 12/31/2018,04/01/1970,"$863,543,164",333,Single Employer,No,Yes,Trust,Trust,"20,422","1,512","8,286","30,220",100,"30,320","32,636",0,549,$0,$0,$0,$0,$0,$0,3605 Warrensville Center Road ,Shaker Heights,OH,44122,(216) 844-1000,34-0714775,622000,Thomas Snowberger,Total,Total,Total,"$3,179,578",$0,"$3,179,578"
