,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,The Bank of New York Mellon,"Custodial (other than securities), Direct payment from the plan",NONE,"$870,235",$0,"$870,235"
1,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,Conduent Incorporated,"Copying and duplicating, Direct payment from the plan",NONE,"$535,493",$0,"$535,493"
2,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,United Parcel Service,"Copying and duplicating, Account maintenance fees, Other insurance fees and expenses",Party In Interest,"$526,411",$0,"$526,411"
3,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,Towers Watson Delaware,"Consulting (general), Direct payment from the plan",NONE,"$132,992",$0,"$132,992"
4,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,"Direct Technologies, Inc","Copying and duplicating, Direct payment from the plan",NONE,"$63,287",$0,"$63,287"
5,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,Blackrock Financial,"Copying and duplicating, Direct payment from the plan",NONE,"$55,318",$0,"$55,318"
6,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,"The Perotta Firm, Plc","Copying and duplicating, Direct payment from the plan",NONE,"$55,000",$0,"$55,000"
7,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,Bloomberg Finance Lp,"Copying and duplicating, Direct payment from the plan",NONE,"$44,021",$0,"$44,021"
8,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,Rr Donnelley,"Copying and duplicating, Insurance brokerage commissions and fees",NONE,"$29,836",$0,"$29,836"
9,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,Barclays Bank Plc,"Copying and duplicating, Direct payment from the plan",NONE,"$29,755",$0,"$29,755"
10,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,"Code Red, Inc.","Copying and duplicating, Direct payment from the plan",NONE,"$14,177",$0,"$14,177"
11,UPS RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/423594/United-Parcel-Service-Of-America-Inc/13913703/Ups-Retirement-Plan/,United Parcel Service of America  Inc.,01/01/2018 — 12/31/2018,09/01/1961,"$23,611,209,998",1,Single Employer,No,Yes,Trust,InsuranceTrust,"70,908","37,389","53,264","161,561","5,099","166,660","169,456",0,562,$0,$0,$0,$0,$0,$0,55 Glenlake Parkway NE ,Atlanta,GA,30328,(404) 828-6000,95-1732075,484200,Total,Total,Total,"$2,356,525",$0,"$2,356,525"
