,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,Northern Trust Company,"Custodial (securities), Trustee (bank, trust company, or similar financial institution), Trustee (directed), Direct payment from the plan, Investment management fees paid directly by plan, Float revenue, Other investment fees and expenses",None known,"$2,538,337",$0,"$2,538,337"
1,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",None known,"$787,010",$0,"$787,010"
2,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,Bny Mellon Invest Mgmt Cayman Ltd,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",None known,"$678,367",$0,"$678,367"
3,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,Legal & General Investment Manageme,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",None known,"$330,016",$0,"$330,016"
4,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,Aon Consulting,"Actuarial, Consulting (pension), Direct payment from the plan",None known,"$251,770",$0,"$251,770"
5,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,Ubs Global Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",None known,"$219,626",$0,"$219,626"
6,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,"T Rowe Price Associates, Inc","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",None known,"$174,358",$0,"$174,358"
7,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,Prudential Insurance Co.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",None known,"$161,083",$0,"$161,083"
8,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,Pacific Investment Managment Co.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",None known,"$156,682",$0,"$156,682"
9,USG CORPORATION RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/171561/Usg-Corporation/13914067/Usg-Corporation-Retirement-Plan/,USG Corporation,01/01/2018 — 12/31/2018,07/01/1958,"$1,193,296,806",1,Single Employer,No,Yes,InsuranceTrust,InsuranceTrust,"5,782","2,780","3,186","11,748",923,"12,671","12,616",0,181,$0,$0,$0,$0,$0,$0,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-3329400,327400,Noreen Cleary,Pension & Investment Committee,550 West Adams Street ,Chicago,IL,60661,(312) 436-4000,36-2890292,McDermott Will & Emery LLP,"Legal, Direct payment from the plan",None known,"$144,301",$0,"$144,301"
