,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Towers Watson Delaware Inc.,"Actuarial, Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan, Account maintenance fees",NONE,"$1,275,891",$0,"$1,275,891"
1,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Nisa Investment Advisors,"Investment management, Investment management fees paid directly by plan",NONE,"$921,805",$0,"$921,805"
2,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Stone Harbour,"Investment management, Investment management fees paid directly by plan",NONE,"$532,874",$0,"$532,874"
3,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Schroder Investment Mgt Na Inc,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other commissions, Soft dollars commissions",NONE,"$513,301",$0,"$513,301"
4,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Bank of New York Mellon,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Investment management fees paid indirectly by plan, Other commissions, Float revenue, Other fees",NONE,"$488,770",$0,"$488,770"
5,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Hexavest Inc,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Recordkeeping fees, Soft dollars commissions",NONE,"$382,113",$0,"$382,113"
6,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Wellington Trust,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Soft dollars commissions",NONE,"$289,926",$0,"$289,926"
7,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Stephen Investment Mgt Group,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$264,818",$0,"$264,818"
8,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Boston Partners,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other commissions",NONE,"$228,140",$0,"$228,140"
9,Unum Group Pension Plan,https://www.brightscope.com/form-5500/basic-info/312160/Unum-Group/13913961/Unum-Group-Pension-Plan/,Unum Group,01/01/2018 — 12/31/2018,12/31/1946,"$1,453,644,316",1,Single Employer,No,Yes,Trust,Trust,"4,848","5,012","4,580","14,440",275,"14,715","15,016",0,0,$0,$0,$0,$0,$0,$0,2211 Congress Street ,Portland,ME,04122,(207) 575-2145,62-1598430,524140,Carl Gagnon,Mercer Investment Consulting Inc,"Consulting (general), Consulting (pension), Investment advisory (plan), Direct payment from the plan",NONE,"$213,036",$0,"$213,036"
