,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,Victory Capital Management,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$948,110",$0,"$948,110"
1,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,Cooke and Bieler Lp,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$881,939",$0,"$881,939"
2,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,"Post Advisory Group, LLC","Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$609,424",$0,"$609,424"
3,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,"Brandes Investment Partners, Lp","Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$568,997",$0,"$568,997"
4,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,Barrow Hanley Mewhinney and Strauss,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$567,223",$0,"$567,223"
5,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,"Earnest Partners, LLC","Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$565,798",$0,"$565,798"
6,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,Pacific Investment Mgmt. Co LLC,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$536,310",$0,"$536,310"
7,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,Fiera Capital Inc,"Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$516,668",$0,"$516,668"
8,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,"Aberdeen Standard Investments, Inc.","Investment advisory (plan), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$451,902",$0,"$451,902"
9,VALERO ENERGY CORPORATION PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/343878/Valero-Energy-Corporation/13913915/Valero-Energy-Corporation-Pension-Plan/,Valero Energy Corporation,01/01/2018 — 12/31/2018,03/01/1985,"$2,026,100,761",5,Single Employer,No,Yes,Trust,Trust,"7,019","2,671","1,993","11,683",494,"12,177","12,220",0,29,$0,$0,$0,$0,$0,$0,P.O. Box 696000 Ms E1T,San Antonio,TX,78269-6000,(210) 345-2000,74-1828067,324110,"Aon Consulting, Inc.","Actuarial, Direct payment from the plan",NONE,"$380,491",$0,"$380,491"
