,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Fidelity Investments Institutional,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant loan processing, Participant communication, Direct payment from the plan, Investment management fees paid indirectly by plan, Float revenue, Recordkeeping fees, Account maintenance fees",Recordkeeper,"$7,543,085",$0,"$7,543,085"
1,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Verizon Communications,"Plan Administrator, Investment advisory (plan), Investment management, Direct payment from the plan",Employer,"$1,510,665",$0,"$1,510,665"
2,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,"Aon Consulting, Inc","Consulting (general), Direct payment from the plan",NONE,"$442,307",$0,"$442,307"
3,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,KPMG,"Consulting (general), Direct payment from the plan",NONE,"$185,895",$0,"$185,895"
4,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Thompson Hine LLP,"Legal, Direct payment from the plan",NONE,"$124,492",$0,"$124,492"
5,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,State Street,"Consulting (general), Direct payment from the plan",NONE,"$86,781",$0,"$86,781"
6,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,ZENO,"Consulting (general), Direct payment from the plan",NONE,"$83,744",$0,"$83,744"
7,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Covington & Burling,"Legal, Direct payment from the plan",NONE,"$64,866",$0,"$64,866"
8,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Rr Donnelley,"Consulting (general), Other services, Direct payment from the plan",NONE,"$57,855",$0,"$57,855"
9,VERIZON PENSION PLAN FOR ASSOCIATES,https://www.brightscope.com/form-5500/basic-info/109986/Verizon-Communications-Inc/111644/Verizon-Savings-Plan-For-Management-Employees/,Verizon Communications Inc.,01/01/2018 — 12/31/2018,01/01/1978,"$24,182,766,148",102,Single Employer,No,Yes,Trust,Trust,"95,302","3,522","60,139","158,963",911,"159,874","158,981","158,643","5,315",$0,$0,$0,$0,$0,$0,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,23-2259884,517000,Kevin Cammarata,Kevin Cammarata,Verizon Employee Benefits Committee,"One Verizon Way, ",Basking Ridge,NJ,07920,(908) 559-3757,38-4008214,Audited,"Mitchell & Titus, LLP",13-2781641,Unqualified,Full Audit,Mitchell & Titus LLP,"Accounting (including auditing), Consulting (general), Direct payment from the plan",NONE,"$51,371",$0,"$51,371"
